site;sloc;walk;date;time;floden;gpsnorth;gpssouth;temp;hum;win;vegspecies;vegfamily;butterfly;occ
Argyle Square;1;1;1/11/2017;15:22:00;0.23;-37.8022;144.9664;25.1;49.4;1.41;Nepeta sp.;Lamiaceae;Little blue butterfly group;1
Argyle Square;1;2;2/11/2017;12:23:00;4.44;-37.8026;144.9664;30.3;45.4;2.1;Lamiaceae 1;Lamiaceae;Little blue butterfly group;1
Argyle Square;1;2;2/11/2017;12:09:00;2.75;-37.8026;144.9662;29.2;49.1;0.8;Nepeta sp.;Lamiaceae;Little blue butterfly group;1
Argyle Square;1;3;1/15/2017;14:27:00;1.5;-37.8025;144.9663;37.6;22.5;3;Nepeta sp.;Lamiaceae;Little blue butterfly group;1
Argyle Square;1;3;1/15/2017;12:56:00;8;-37.8026;144.9662;26.5;43;0.8;Trifolium repens;Fabaceae;Little blue butterfly group;1
Carlton Gardens South;1;2;3/2/2017;14:24:00;0.31;-37.8073;144.9723;29.5;54.5;0.8;Trifolium repens;Fabaceae;Little blue butterfly group;1
Carlton Gardens South;2;1;1/31/2017;15:32:00;20;-37.8052;144.9706;34;26.6;0.9;Salvia sp.;Lamiaceae;Little blue butterfly group;1
Carlton Gardens South;2;1;3/2/2017;16:13:00;0.12;-37.8054;144.9703;32.1;51.6;1.6;Senecio sp. ;Asteraceae;Little blue butterfly group;1
Carlton Gardens South;2;1;1/31/2017;15:29:00;3.32;-37.8052;144.9706;34;26.6;0.9;Trifolium repens;Fabaceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;9:48:00;0.11;-37.8045;144.97;25.5;40.9;1.9;Asteraceae 1;Asteraceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;12:42:00;0.06;-37.8044;144.9704;27.8;71.8;0;Asteraceae 1;Asteraceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;14:16:00;2.67;-37.8044;144.9709;28.5;38.5;2;Ceratostigma sp.;Plumbaginaceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;9:25:00;140;-37.8047;144.9699;25.7;39.1;1.4;Lavandula sp.;Lamiaceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;11:09:00;30;-37.8043;144.9699;27.5;40.5;0.8;Stachys byzantina;Lamiaceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;11:06:00;0.2;-37.8043;144.9699;27.3;44.8;2.1;Tanacetum vulgare;Asteraceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;11:31:00;0.75;-37.8042;144.9697;29.1;35.4;0.8;Trifolium repens;Fabaceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;12:08:00;2;-37.8043;144.97;28.9;35.3;0.5;Trifolium repens;Fabaceae;Little blue butterfly group;1
Carlton Gardens South;3;1;1/30/2017;14:56:00;3.11;-37.8045;144.9702;28.1;41.1;1.4;Trifolium repens;Fabaceae;Little blue butterfly group;1
Carlton Gardens South;3;2;3/1/2017;15:35:00;0.03;-37.8061;144.9697;32.9;34.3;0.6;Limanarium perezii;Plumbaginaceae;Little blue butterfly group;1
Carlton Gardens South;3;2;1/30/2017;15:30:00;10;-37.805;144.97;29.4;38.2;1.1;Stachys byzantina;Lamiaceae;Little blue butterfly group;1
Carlton Gardens South;3;2;1/30/2017;15:36:00;0.04;-37.805;144.97;31;36.4;1;Tanacetum vulgare;Asteraceae;Little blue butterfly group;1
Carlton Gardens South;3;3;1/30/2017;16:39:00;1.38;-37.8051;144.9703;30.2;39.5;0.6;Trifolium repens;Fabaceae;Little blue butterfly group;1
Fitzroy-Treasury Gardens;1;1;3/9/2017;14:38:00;93.75;-37.8136;144.9757;31.4;41.4;0.7;Oxalis sp.;Oxalidaceae;Little blue butterfly group;1
Fitzroy-Treasury Gardens;2;1;3/11/2017;13:30:00;1.85;-37.8149;144.9791;30.9;50.6;0.8;Trifolium repens;Fabaceae;Little blue butterfly group;1
Fitzroy-Treasury Gardens;3;1;2/3/2017;14:32:00;1.33;-37.8139;144.9814;35;38.3;1.3;Trifolium repens;Fabaceae;Little blue butterfly group;1
Fitzroy-Treasury Gardens;3;1;3/9/2017;11:06:00;2.22;-37.8139;144.981;29.7;45.4;0.9;Trifolium repens;Fabaceae;Little blue butterfly group;1
Fitzroy-Treasury Gardens;4;1;2/9/2017;16:22:00;2.22;-37.812;144.978;26.5;67.5;1.5;Bellis perennis;Asteraceae;Little blue butterfly group;1
Fitzroy-Treasury Gardens;4;1;2/9/2017;16:19:00;1.38;-37.8118;144.9794;26.6;68;2.3;Trifolium repens;Fabaceae;Little blue butterfly group;1
Fitzroy-Treasury Gardens;4;1;3/8/2017;22:38:00;3.09;-37.8106;144.98;24;58.8;0.5;Trifolium repens;Fabaceae;Little blue butterfly group;1
Fitzroy-Treasury Gardens;5;1;2/9/2017;13:04:00;25;-37.8139;144.9793;34;48.5;2;Oxalis sp.;Oxalidaceae;Little blue butterfly group;1
Fitzroy-Treasury Gardens;5;1;3/11/2017;16:16:00;25;-37.8138;144.9792;28.6;54.6;1.8;Plectranthus sp.;Lamiaceae;Little blue butterfly group;1
Fitzroy-Treasury Gardens;5;1;2/9/2017;12:56:00;1.23;-37.814;144.9793;34.7;49.5;0.6;Trifolium repens;Fabaceae;Little blue butterfly group;1
Fitzroy-Treasury Gardens;5;2;2/9/2017;14:42:00;12;-37.8143;144.979;35.4;46.3;1.6;Medicago polymorpha;Fabaceae;Little blue butterfly group;1
Fitzroy-Treasury Gardens;5;2;2/9/2017;13:59:00;1.85;-37.8136;144.9799;35.2;48.8;1.3;Trifolium repens;Fabaceae;Little blue butterfly group;1
Gardiner Reserve;1;2;1/21/2017;15:24:00;0.75;-37.7992;144.944;29.4;35.6;1.4;Trifolium repens;Fabaceae;Little blue butterfly group;1
Garrard Street Reserve;1;1;1/15/2017;16:50:00;5.5;-37.7791;144.9418;26.9;39.1;1.4;Trifolium repens;Fabaceae;Little blue butterfly group;1
Garrard Street Reserve;1;1;1/15/2017;17:33:00;5;-37.7792;144.9423;23.2;48.8;1.8;Trifolium repens;Fabaceae;Little blue butterfly group;1
Garrard Street Reserve;1;1;2/16/2017;11:12:00;1.85;-37.7791;144.9419;26.2;52.3;0;Trifolium repens;Fabaceae;Little blue butterfly group;1
Garrard Street Reserve;1;1;2/16/2017;11:31:00;1.85;-37.779;144.9417;25.3;53.4;0;Trifolium repens;Fabaceae;Little blue butterfly group;1
Lincoln Square;1;2;1/16/2017;17:13:00;0.32;-37.8022;144.9635;31.9;35.4;1.6;Convolvulus sp.;Convovulaceae ;Little blue butterfly group;1
Lincoln Square;1;2;1/16/2017;17:57:00;1.44;-37.8024;144.9632;36.5;26.6;1.4;Convolvulus sp.;Convovulaceae ;Little blue butterfly group;1
Lincoln Square;1;2;1/16/2017;17:40:00;10;-37.8023;144.9633;35.7;28.1;0;Lamiaceae 1;Lamiaceae;Little blue butterfly group;1
Lincoln Square;1;2;2/13/2017;15:15:00;12;-37.8023;144.9631;27.5;43;0.8;Limanarium perezii;Plumbaginaceae;Little blue butterfly group;1
Lincoln Square;1;2;1/16/2017;17:35:00;1.9;-37.8022;144.9632;37.52;1.2;1.6;Mentha sp. ;Lamiaceae;Little blue butterfly group;1
Lincoln Square;2;1;1/16/2017;16:53:00;1.75;-37.8027;144.9625;33.4;32.7;1.3;Trifolium repens;Fabaceae;Little blue butterfly group;1
Lincoln Square;2;3;1/16/2017;19:52:00;3.21;-37.8029;144.9633;29.8;39.7;2.1;Trachelospermum jasminoides;Apocynaceae;Little blue butterfly group;1
Murchinson Square;1;1;1/26/2017;10:26:00;3.09;-37.8001;144.9731;21.5;59.6;1;Trifolium repens;Fabaceae;Little blue butterfly group;1
Murchinson Square;1;1;3/14/2017;10:09:00;4.32;-37.8001;144.9729;23.9;71.6;1;Trifolium repens;Fabaceae;Little blue butterfly group;1
Murchinson Square;1;1;3/14/2017;10:25:00;5.26;-37.8;144.973;26.1;69.9;1;Trifolium repens;Fabaceae;Little blue butterfly group;1
Murchinson Square;1;1;3/14/2017;10:45:00;4.16;-37.8002;144.9732;27.1;63.8;0.6;Trifolium repens;Fabaceae;Little blue butterfly group;1
Pleasance Gardens;1;1;1/15/2017;18:13:00;7.25;-37.7963;144.9458;24.5;43;2.3;Trifolium repens;Fabaceae;Little blue butterfly group;1
Pleasance Gardens;1;1;1/15/2017;19:05:00;2.5;-37.7965;144.9458;22.1;53.7;2.6;Trifolium repens;Fabaceae;Little blue butterfly group;1
Pleasance Gardens;1;1;2/15/2017;15:33:00;1.23;-37.7964;144.9455;32.1;25.9;1.7;Trifolium repens;Fabaceae;Little blue butterfly group;1
Princes Park;1;1;1/27/2017;11:37:00;0.31;-37.779;144.9619;29.2;43.4;1.5;Trifolium repens;Fabaceae;Little blue butterfly group;1
Princes Park;2;2;1/27/2017;9:45:00;5.86;-37.7802;144.9603;24.9;48.1;0.9;Trifolium repens;Fabaceae;Little blue butterfly group;1
Princes Park;2;2;2/27/2017;10:26:00;3.05;-37.7806;144.9606;26;42.8;1.3;Trifolium repens;Fabaceae;Little blue butterfly group;1
Princes Park;2;3;2/27/2017;10:45:00;1.25;-37.7801;144.9612;27.2;41.9;1.9;Trifolium repens;Fabaceae;Little blue butterfly group;1
Princes Park;2;4;1/27/2017;10:40:00;18.75;-37.779;144.9612;25.3;52.7;0.7;Oxalis sp.;Oxalidaceae;Little blue butterfly group;1
Princes Park;3;1;1/27/2017;14:30:00;0.75;-37.7807;144.9609;28.5;42.7;1.1;Trifolium repens;Fabaceae;Little blue butterfly group;1
Princes Park;3;1;2/27/2017;13:18:00;4.32;-37.7808;144.9619;30;36.5;1.8;Trifolium repens;Fabaceae;Little blue butterfly group;1
Princes Park;3;1;2/27/2017;13:32:00;1.85;-37.7805;144.9621;30.7;45.6;1.1;Trifolium repens;Fabaceae;Little blue butterfly group;1
Princes Park;3;1;2/27/2017;13:45:00;0.55;-37.7806;144.9623;30.7;39.8;1.5;Trifolium repens;Fabaceae;Little blue butterfly group;1
Princes Park;4;2;2/28/2017;12:17:00;0.78;-37.7878;144.9626;30.1;40.9;1.4;Trifolium repens;Fabaceae;Little blue butterfly group;1
Princes Park;4;3;1/28/2017;12:52:00;1.5;-37.7888;144.9601;29.2;49.2;2.1;Trifolium repens;Fabaceae;Little blue butterfly group;1
Princes Park;6;1;2/27/2017;14:35:00;2.16;-37.7855;144.9626;32.2;29.1;2.3;Trifolium repens;Fabaceae;Little blue butterfly group;1
Princes Park;6;2;2/27/2017;15:34:00;0.93;-37.789;144.9619;33.3;29.4;0.8;Trifolium repens;Fabaceae;Little blue butterfly group;1
Royal Park;3;1;2/23/2017;14:56:00;4.08;-37.7959;144.9513;27.6;46.5;1.2;Brachyscome multifida;Asteraceae;Little blue butterfly group;1
Royal Park;3;1;1/19/2017;16:23:00;14.17;-37.7954;144.9524;26.5;41.3;1;Goodenia ovata;Goodeniaceae;Little blue butterfly group;1
Royal Park;3;1;2/23/2017;13:48:00;2.78;-37.7959;144.9518;28.7;41;1;Goodenia ovata;Goodeniaceae;Little blue butterfly group;1
Royal Park;3;1;2/23/2017;12:50:00;8.33;-37.7953;144.9517;34.2;32.1;1.1;Myoporum parvifolium;Scrophulariaceae;Little blue butterfly group;1
Royal Park;3;1;2/23/2017;14:39:00;6.94;-37.796;144.9514;32.1;37.8;3.1;Myoporum parvifolium;Scrophulariaceae;Little blue butterfly group;1
Royal Park;3;1;2/23/2017;12:21:00;6.22;-37.7953;144.9517;31.5;35;1.3;Pelargonium australe;Geraniaceae;Little blue butterfly group;1
Royal Park;3;1;2/23/2017;13:05:00;15;-37.7955;144.9517;33.4;33.8;0.6;Pomaderris racemosa;Rhamnaceae;Little blue butterfly group;1
Royal Park;3;2;2/23/2017;15:12:00;3.7;-37.7947;144.9513;32.1;37.7;1.6;Trifolium repens;Fabaceae;Little blue butterfly group;1
Royal Park;3;4;1/21/2017;18:10:00;3.5;-37.7958;144.951;28.7;43.5;1.6;Brachyscome multifida;Asteraceae;Little blue butterfly group;1
Royal Park;3;4;1/21/2017;13:29:00;55.56;-37.7953;144.9518;37;24.1;0.5;Pimelea humilius;Thymelaeaceae;Little blue butterfly group;1
Royal Park;3;4;1/21/2017;16:48:00;64;-37.7956;144.9522;34.9;28.4;0;Pimelea humilius;Thymelaeaceae;Little blue butterfly group;1
Royal Park;3;4;1/21/2017;17:49:00;7;-37.7959;144.9512;29.7;35.2;0.9;Pimelea humilius;Thymelaeaceae;Little blue butterfly group;1
Royal Park;4;1;1/18/2017;11:24:00;0.04;-37.7818;144.9494;27.4;35.9;2.4;Foeniculum vulgare;Apiaceae;Little blue butterfly group;1
Royal Park;4;2;1/18/2017;12:41:00;5.71;-37.782;144.9492;25.5;35.1;0.7;Goodenia ovata;Goodeniaceae;Little blue butterfly group;1
Royal Park;6;3;2/16/2017;16:11:00;1.75;-37.7831;144.9439;26.9;54.6;3.1;Trifolium repens;Fabaceae;Little blue butterfly group;1
Royal Park;7;3;1/17/2017;15:57:00;12.82;-37.7895;144.9576;37.7;22.6;0.8;Wahlenbergia sp. ;Campanulaceae;Little blue butterfly group;1
Royal Park;8;3;1/19/2017;11:01:00;3.25;-37.7886;144.9447;26.2;33.3;3.3;Asteraceae 1;Asteraceae;Little blue butterfly group;1
Royal Park;9;1;2/22/2017;12:55:00;2.16;-37.7916;144.9566;30.3;30.1;1.6;Trifolium repens;Fabaceae;Little blue butterfly group;1
Royal Park;9;3;1/24/2017;16:44:00;5.5;-37.7919;144.9565;29.3;36.7;2.1;Trifolium repens;Fabaceae;Little blue butterfly group;1
Westgate Park;1;2;3/7/2017;14:55:00;555.56;-37.8322;144.9047;30.5;32;1.1;Galenia pubescens;Aizoaceae;Little blue butterfly group;1
Westgate Park;1;3;3/7/2017;16:17:00;16;-37.8323;144.9065;32.7;35.9;1.1;Olearia lirata;Asteraceae;Little blue butterfly group;1
Westgate Park;2;1;3/6/2017;17:39:00;7.25;-37.831;144.9061;29;45.8;1.1;Olearia lirata;Asteraceae;Little blue butterfly group;1
Westgate Park;2;4;3/7/2017;12:10:00;15.83;-37.8318;144.9058;34;35.4;0.4;Olearia lirata;Asteraceae;Little blue butterfly group;1
Westgate Park;4;1;3/3/2017;12:36:00;15.38;-37.8318;144.9085;27.1;57.8;2.4;Wahlenbergia sp. ;Campanulaceae;Little blue butterfly group;1
Womens Peace Gardens;1;1;1/29/2017;16:54:00;2.96;-37.7911;144.9241;39.1;28.9;2.6;Ceratostigma sp.;Plumbaginaceae;Little blue butterfly group;1
Womens Peace Gardens;1;1;1/29/2017;15:24:00;9.78;-37.7909;144.9239;28.6;49.4;2.1;Erigeron karinskianus;Asteraceae;Little blue butterfly group;1
Womens Peace Gardens;1;1;1/29/2017;14:41:00;8;-37.7911;144.9236;29.1;45.2;1.6;Nepeta sp.;Lamiaceae;Little blue butterfly group;1
Womens Peace Gardens;1;1;1/29/2017;15:00:00;1.11;-37.7911;144.9235;28.4;47;1.5;Nepeta sp.;Lamiaceae;Little blue butterfly group;1
Womens Peace Gardens;1;1;1/29/2017;16:36:00;3.59;-37.7911;144.9242;36.2;35.8;1.6;Nepeta sp.;Lamiaceae;Little blue butterfly group;1
Womens Peace Gardens;1;1;2/26/2017;14:24:00;1.67;-37.7911;144.9235;36.8;33.5;1.6;Nepeta sp.;Lamiaceae;Little blue butterfly group;1
Womens Peace Gardens;1;1;1/29/2017;14:56:00;1;-37.7911;144.9235;29.3;50.1;0.7;Rosmarinus officinalis;Lamiaceae;Little blue butterfly group;1
Womens Peace Gardens;1;1;1/29/2017;14:32:00;2.5;-37.7912;144.9237;27.5;48.1;2.1;Rosmarinus officinalis;Lamiaceae;Little blue butterfly group;1
Womens Peace Gardens;1;1;2/26/2017;14:00:00;0.67;-37.7911;144.9236;32.9;35.1;1.1;Rosmarinus officinalis;Lamiaceae;Little blue butterfly group;1
Womens Peace Gardens;1;1;2/26/2017;14:19:00;1;-37.7911;144.9234;34.4;36;3;Rosmarinus officinalis;Lamiaceae;Little blue butterfly group;1
Womens Peace Gardens;1;1;1/29/2017;14:12:00;3.25;-37.7909;144.9238;28.4;48.6;3;Trifolium repens;Fabaceae;Little blue butterfly group;1
Womens Peace Gardens;1;1;2/26/2017;13:33:00;3.11;-37.7909;144.9239;29.5;47.2;1.5;Trifolium repens;Fabaceae;Little blue butterfly group;1
Womens Peace Gardens;1;2;2/26/2017;15:14:00;3.56;-37.7912;144.9242;32.2;40;1.3;Cistus sp.;Cistaceae;Little blue butterfly group;1
Womens Peace Gardens;2;1;1/29/2017;11:55:00;0.75;-37.7911;144.9241;27.8;44.9;0.5;Nepeta sp.;Lamiaceae;Little blue butterfly group;1
Womens Peace Gardens;2;1;1/29/2017;12:33:00;0.5;-37.7912;144.9235;29.3;43.4;0.5;Nepeta sp.;Lamiaceae;Little blue butterfly group;1
Womens Peace Gardens;2;1;2/26/2017;11:28:00;1.56;-37.7912;144.9241;28.1;43.1;0.6;Rosmarinus officinalis;Lamiaceae;Little blue butterfly group;1
Womens Peace Gardens;2;1;1/29/2017;12:12:00;5.33;-37.7912;144.9235;30.1;42.2;0.7;Thymus vulgaris;Lamiaceae;Little blue butterfly group;1
Womens Peace Gardens;2;1;2/26/2017;10:28:00;2.16;-37.7913;144.9239;29.1;46.5;1.5;Trifolium repens;Fabaceae;Little blue butterfly group;1
Womens Peace Gardens;2;2;2/26/2017;12:24:00;2.67;-37.7912;144.9235;26.6;53.5;1.2;Nepeta sp.;Lamiaceae;Little blue butterfly group;1
Womens Peace Gardens;2;2;2/26/2017;12:07:00;2.22;-37.7912;144.9235;26.7;51.6;0.6;Nepeta sp.;Lamiaceae;Little blue butterfly group;1
Womens Peace Gardens;2;2;2/26/2017;12:11:00;5.86;-37.7912;144.9236;26.5;47.9;1.2;Trifolium repens;Fabaceae;Little blue butterfly group;1
Argyle Square;1;1;1/11/2017;15:49:00;0.44;-37.8023;144.9664;24.3;49.3;1.4;Asteraceae 1;Asteraceae;Little blue butterfly group;0
Argyle Square;1;1;2/11/2017;9:59:00;0.03;-37.8923;144.9664;25.3;57.2;1;Lamiaceae 1;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;1;1/11/2017;15:34:00;4;-37.8023;144.9665;24.4;51.2;1.1;Malva sp. ;Malvaceae;Little blue butterfly group;0
Argyle Square;1;1;1/11/2017;13:42:00;0.08;-37.8023;144.9664;24.1;50.2;1.3;Nepeta sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;1;2/11/2017;9:14:00;5.33;-37.8023;144.9664;25.4;59.1;0.7;Nepeta sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;1;2/11/2017;9:55:00;4.67;-37.8023;144.9664;25.3;59;1.2;Nepeta sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;1;1/11/2017;14:28:00;28;-37.8023;144.9665;25.7;44;2.8;Plectranthus sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;1;1/12/2017;16:34:00;0.29;-37.8022;144.9665;27.4;47.4;1.5;Plectranthus sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;1;2/11/2017;9:09:00;5.33;-37.8023;144.9664;25.4;59.4;0.4;Plectranthus sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;1;2/11/2017;10:15:00;0.1;-37.8023;144.9664;25.6;57.7;1.3;Plectranthus sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;1;2/11/2017;12:20:00;4.5;-37.8026;144.9664;31.4;43.4;2.4;Plectranthus sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;1;1/12/2017;16:53:00;12.5;-37.8021;144.9663;27.9;47.5;1.2;Rosmarinus officinalis;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;1;2/11/2017;10:30:00;41.25;-37.8023;144.9665;23.8;59.6;2.4;Rosmarinus officinalis;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;1;2/11/2017;10:44:00;20;-37.8022;144.9663;24.9;56.6;1.4;Rosmarinus officinalis;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;2;2/11/2017;11:48:00;1.25;-37.8025;144.9663;26.2;54.3;0.7;Lamiaceae 1;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;2;2/11/2017;11:31:00;10;-37.8024;144.9663;25;56.2;1.2;Nepeta sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;2;2/11/2017;12:27:00;6.25;-37.8026;144.9664;28.8;46.1;1.3;Oxalis sp.;Oxalidaceae;Little blue butterfly group;0
Argyle Square;1;2;2/11/2017;13:43:00;2.25;-37.8028;144.9663;38.4;30.8;1.4;Pelagonium sp. ;Geraniaceae;Little blue butterfly group;0
Argyle Square;1;2;2/11/2017;10:57:00;0.29;-37.8024;144.9663;24.2;59.7;1.4;Plectranthus sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;2;2/11/2017;11:18:00;4;-37.8024;144.9663;23.9;60.3;1;Plectranthus sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;2;2/11/2017;13:37:00;3;-37.8027;144.9667;31.9;41.5;0.6;Plectranthus sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;2;1/12/2017;17:20:00;0.08;-37.8023;144.9663;28.7;46.1;0.8;Salvia sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;2;2/11/2017;11:01:00;27.78;-37.8024;144.9663;23.8;60.6;0.7;Salvia sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;2;2/11/2017;11:04:00;1;-37.8023;144.9664;23.6;64.5;1.2;Salvia sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;2;2/11/2017;11:35:00;3.33;-37.8023;144.9664;24.9;59.9;0.9;Salvia sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;2;2/11/2017;12:13:00;8;-37.8026;144.9662;30.9;43.3;0.6;Salvia sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;2;2/11/2017;12:17:00;10;-37.8024;144.9663;32.6;40.7;0.7;Salvia sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;2;2/11/2017;14:06:00;1.85;-37.8027;144.9664;31.7;38.7;0.8;Trifolium repens;Fabaceae;Little blue butterfly group;0
Argyle Square;1;3;1/15/2017;13:15:00;0.11;-37.8027;144.9663;26.3;43.5;1.1;Asteraceae 1;Asteraceae;Little blue butterfly group;0
Argyle Square;1;3;1/15/2017;14:05:00;0.91;-37.8026;144.9662;37.3;25;1.4;Mentha sp. ;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;3;1/15/2017;10:55:00;27.5;-37.8024;144.9664;21.6;47.8;1;Mentha sp. ;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;3;1/15/2017;12:33:00;1.5;-37.8027;144.9662;25.4;44.3;1.1;Mentha sp. ;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;3;1/15/2017;11:13:00;5.5;-37.8023;144.9664;23.3;45.7;1.3;Pelagonium sp. ;Geraniaceae;Little blue butterfly group;0
Argyle Square;1;3;1/15/2017;9:56:00;0.75;-37.8024;144.9663;18.8;56.7;0.7;Plectranthus sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;3;1/15/2017;13:34:00;0.56;-37.8024;144.9663;31.9;30.2;1.1;Plectranthus sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;3;1/15/2017;10:39:00;2;-37.8023;144.9663;22.2;44.1;0.8;Plectranthus sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;3;1/15/2017;13:49:00;6;-37.8026;144.9663;36.1;22.8;0.7;Plectranthus sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;3;2/11/2017;14:20:00;10;-37.8022;144.9662;29.3;42.8;1.5;Plectranthus sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;3;2/11/2017;14:23:00;6;-37.8022;144.9662;27.8;45.8;1.5;Rosmarinus officinalis;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;3;1/15/2017;10:12:00;0.17;-37.8023;144.9662;20.1;53.9;0.9;Salvia sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;3;1/15/2017;10:26:00;0.42;-37.8024;144.9663;22.8;44.1;0.8;Salvia sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;3;1/15/2017;11:29:00;2.5;-37.8023;144.9663;23.8;45;1.6;Salvia sp.;Lamiaceae;Little blue butterfly group;0
Argyle Square;1;3;1/15/2017;14:42:00;4.69;-37.8027;144.9663;30.3;29.3;1.7;Trifolium repens;Fabaceae;Little blue butterfly group;0
Argyle Square;2;1;1/12/2017;11:30:00;0.05;-37.8022;144.9657;22.7;50.4;1.4;Bougainvillea sp.;Nyctaginaceae;Little blue butterfly group;0
Argyle Square;2;1;1/12/2017;11:51:00;0.04;-37.8025;144.9656;26.2;43;1.7;Bougainvillea sp.;Nyctaginaceae;Little blue butterfly group;0
Argyle Square;2;1;2/11/2017;14:52:00;0.16;-37.8025;144.9662;29.6;40.6;1.5;Bougainvillea sp.;Nyctaginaceae;Little blue butterfly group;0
Argyle Square;2;1;2/11/2017;15:05:00;0.16;-37.8027;144.9657;30.1;42.8;1;Bougainvillea sp.;Nyctaginaceae;Little blue butterfly group;0
Argyle Square;2;1;1/12/2017;10:35:00;140;-37.8026;144.9665;22.4;54.7;0.9;Euphorbia sp. ;Euphorbiaceae;Little blue butterfly group;0
Argyle Square;2;1;1/12/2017;11:00:00;6.79;-37.8019;144.9652;22.5;53.7;1.5;Trifolium repens;Fabaceae;Little blue butterfly group;0
Argyle Square;2;1;2/11/2017;14:45:00;0.69;-37.8021;144.9653;28.8;46.6;1.3;Trifolium repens;Fabaceae;Little blue butterfly group;0
Argyle Square;2;2;1/12/2017;12:12:00;4.25;-37.8033;144.9657;26.5;43.8;1.1;Trifolium repens;Fabaceae;Little blue butterfly group;0
Argyle Square;2;2;2/11/2017;15:30:00;1.23;-37.8032;144.9656;31.5;40.1;2.2;Trifolium repens;Fabaceae;Little blue butterfly group;0
Argyle Square;2;2;2/11/2017;15:29:00;1.31;-37.8032;144.9658;30.3;39.9;1.8;Trifolium repens;Fabaceae;Little blue butterfly group;0
Argyle Square;2;3;1/12/2017;14:26:00;31.25;-37.8027;144.9662;31.4;36.2;1.4;Oxalis sp.;Oxalidaceae;Little blue butterfly group;0
Argyle Square;2;3;1/12/2017;13:47:00;4;-37.8028;144.9664;27.4;41.6;1.5;Rosmarinus officinalis;Lamiaceae;Little blue butterfly group;0
Argyle Square;2;3;1/12/2017;14:07:00;8.33;-37.8029;144.966;28.6;41.1;2;Rosmarinus officinalis;Lamiaceae;Little blue butterfly group;0
Argyle Square;2;3;1/12/2017;12:29:00;2.5;-37.8049;144.9634;24.6;48.6;2.2;Trifolium repens;Fabaceae;Little blue butterfly group;0
Argyle Square;2;3;1/12/2017;13:00:00;6.22;-37.8032;144.9657;24.6;46.5;1.8;Trifolium repens;Fabaceae;Little blue butterfly group;0
Argyle Square;2;3;1/12/2017;13:26:00;2.67;-37.8032;144.9667;29.3;44.2;1.1;Trifolium repens;Fabaceae;Little blue butterfly group;0
Canning/Neill St Reserve;1;1;1/11/2017;10:32:00;333.33;-37.7931;144.9738;22.2;58.9;1;Schinus molle;Anacardiaceae;Little blue butterfly group;0
Canning/Neill St Reserve;1;1;1/11/2017;10:55:00;555.56;-37.793;144.974;24.7;47.2;1.7;Schinus molle;Anacardiaceae;Little blue butterfly group;0
Canning/Neill St Reserve;1;1;1/11/2017;11:12:00;388.89;-37.9731;144.9732;23.9;51.2;1.2;Schinus molle;Anacardiaceae;Little blue butterfly group;0
