site,aream2,lawn,tree,grassland,midstorey
Argyle Square,"8,335",1,1,0,1
Canning/Neil Street Reserve,"1,601",1,1,0,0
Carlton Gardens South,"47,244",1,1,0,1
Fitzroy-Treasury Gardens,"175,776",1,1,0,1
Gardiner Reserve,"3,655",1,1,0,1
Garrard Street Reserve,"1,081",1,1,0,0
Lincoln Square,"9,865",1,1,1,1
Murchinson Square,"3,294",1,1,0,0
Pleasance Gardens,"3,404",1,1,0,0
Princes Park,"329,280",1,1,1,1
Royal Park,"1,261,946",1,1,1,1
State Library of Victoria,"2,400",1,1,0,1
University Square,"12,768",1,1,0,0
Westgate Park,"239,791",1,1,1,1
Women's Peace Gardens,"5,684",1,1,0,1
