"site";"vegspecies";"buggroup";"family";"species";"size";"functional.group"
"Fitzroy-Treasury Gardens";"Helleborus sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Helleborus sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Helleborus sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Helleborus sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Dichanthium sericeum";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Poa labillardierei";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rytidosperma sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rytidosperma sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rytidosperma sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rytidosperma sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rytidosperma sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Rytidosperma sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Rytidosperma sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Rytidosperma sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Rytidosperma sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Themeda triandra";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Themeda triandra";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Themeda triandra";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Themeda triandra";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Themeda triandra";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Themeda triandra";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Themeda triandra";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Themeda triandra";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Avena barbata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Avena barbata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Argyle Square";"Cynodon dactylon01";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Cynodon dactylon04";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Cynodon dactylon04";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Cynodon dactylon05";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon07";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon10";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon11";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Cynodon dactylon11";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Gardiner Reserve";"Cynodon dactylon12";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Lincoln Square";"Cynodon dactylon15";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Murchinson Square";"Cynodon dactylon16";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Pleasance Gardens";"Cynodon dactylon17";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Cynodon dactylon18";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Cynodon dactylon20";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Cynodon dactylon21";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Cynodon dactylon22";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Cynodon dactylon25";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Cynodon dactylon28";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Cynodon dactylon29";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Cynodon dactylon31";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"University Square";"Cynodon dactylon34";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Cynodon dactylon36";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Cynodon dactylon36";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Cynodon dactylon38";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Women's Peace Gardens";"Cynodon dactylon40";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Women's Peace Gardens";"Cynodon dactylon41";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Women's Peace Gardens";"Cynodon dactylon41";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Lincoln Square";"Miscanthus sinensis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Lincoln Square";"Miscanthus sinensis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Lincoln Square";"Miscanthus sinensis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Canna generalis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Canna generalis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Canna generalis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Canna indica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Canna indica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Strelitzia reginae";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Strelitzia reginae";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Strelitzia reginae";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Strelitzia reginae";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Strelitzia reginae";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Hedychium sp";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Dianella sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Lomandra longifolia";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Lomandra longifolia";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Lomandra longifolia";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Lomandra longifolia";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Lomandra longifolia";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Lomandra longifolia";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Lomandra longifolia";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Agapanthus praecox";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Agapanthus praecox";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Agapanthus praecox";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Agapanthus praecox";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Agapanthus praecox";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Agapanthus praecox";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Clivia miniata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Clivia miniata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Clivia miniata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Asparagus aethiopicus";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Asparagus aethiopicus";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Asparagus aethiopicus";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"State Library of Victoria";"Dietes sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"State Library of Victoria";"Dietes sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"State Library of Victoria";"Dietes sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Women's Peace Gardens";"Dietes sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Women's Peace Gardens";"Dietes sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Women's Peace Gardens";"Dietes sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Iris albicans";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Iris albicans";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Chlorophytum comosum";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Kniphofia sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Kniphofia sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Bursaria spinosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Bursaria spinosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Bursaria spinosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Bursaria spinosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Bursaria spinosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Bursaria spinosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Bursaria spinosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Bursaria spinosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Bursaria spinosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Bursaria spinosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Bursaria spinosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Bursaria spinosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Bursaria spinosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Bursaria spinosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Ozothamnus ferrugineus";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Ozothamnus ferrugineus";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Ozothamnus ferrugineus";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Ozothamnus ferrugineus";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Goodenia ovata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Goodenia ovata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Goodenia ovata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Goodenia ovata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Goodenia ovata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Goodenia ovata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Goodenia ovata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Enchylaena tomentosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Enchylaena tomentosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Enchylaena tomentosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Rhagodia parabolica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Rhagodia parabolica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Rhagodia parabolica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Rhagodia parabolica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Duma florulenta";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Cassinia arcuata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Cassinia arcuata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Cassinia arcuata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Cassinia arcuata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Royal Park";"Cassinia arcuata";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Argyle Square";"Plectranthus argentatus";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Plectranthus argentatus";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Plectranthus argentatus";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Plectranthus argentatus";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Plectranthus argentatus";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"State Library of Victoria";"Westringia fruticosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"State Library of Victoria";"Westringia fruticosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"State Library of Victoria";"Westringia fruticosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Westgate Park";"Westringia fruticosa";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Pittosporum sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Pittosporum sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Pittosporum sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Argyranthemum sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Argyranthemum sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Argyranthemum sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Argyranthemum sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Argyranthemum sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Artemisia arborescens";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"State Library of Victoria";"Artemisia arborescens";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"State Library of Victoria";"Artemisia arborescens";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Tanacetum vulgare";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Tanacetum vulgare";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Echium candicans";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Echium candicans";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Echium candicans";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Echium candicans";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"State Library of Victoria";"Echium candicans";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Hydrangea sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Hydrangea sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Hydrangea sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Hydrangea sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Hydrangea sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Viburnum sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Viburnum sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Viburnum sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"State Library of Victoria";"Viburnum sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"State Library of Victoria";"Viburnum sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"State Library of Victoria";"Viburnum sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Abelia grandiflora";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Abelia grandiflora";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Camellia sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Camellia sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Aucuba japonica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Aucuba japonica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Aucuba japonica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Aucuba japonica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Aucuba japonica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Aucuba japonica";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Nerium oleander";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Nerium oleander";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Nerium oleander";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Nerium oleander";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Nerium oleander";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Princes Park";"Nerium oleander";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Lincoln Square";"Trachelospermum jasminoides";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Lincoln Square";"Trachelospermum jasminoides";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"State Library of Victoria";"Trachelospermum jasminoides";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Acanthus mollis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Acanthus mollis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Acanthus mollis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Acanthus mollis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Acanthus mollis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Acanthus mollis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Acanthus mollis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Acanthus mollis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Acanthus mollis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Fitzroy-Treasury Gardens";"Acanthus mollis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Argyle Square";"Lavandula sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Argyle Square";"Lavandula sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Lavandula sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Lavandula sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Carlton Gardens South";"Lavandula sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Women's Peace Gardens";"Lavandula sp.";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Argyle Square";"Mentha pulegium";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Argyle Square";"Mentha pulegium";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Argyle Square";"Mentha pulegium";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Argyle Square";"Rosmarinus officinalis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Argyle Square";"Rosmarinus officinalis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Argyle Square";"Rosmarinus officinalis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Argyle Square";"Rosmarinus officinalis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Women's Peace Gardens";"Rosmarinus officinalis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Women's Peace Gardens";"Rosmarinus officinalis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Women's Peace Gardens";"Rosmarinus officinalis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
"Women's Peace Gardens";"Rosmarinus officinalis";"Beetles";"Latriidae";"Cortinicara sp.1";1;"Herbivore"
