"site";"vegspecies";"buggroup";"family";"species";"size";"functional.group"
"Royal Park";"Cassinia arcuata";"Beetles";"Mordellidae";"Mordellistena sp. 1";3;"Herbivore"
"Royal Park";"Acacia verniciflua";"Beetles";"Mordellidae";"Mordellistena sp. 1";3;"Herbivore"
"Royal Park";"Corymbia maculata";"Beetles";"Mordellidae";"Mordellistena sp. 1";3;"Herbivore"
"Royal Park";"Corymbia maculata";"Beetles";"Mordellidae";"Mordellistena sp. 1";3;"Herbivore"
"Royal Park";"Kunzea leptospermoides";"Beetles";"Mordellidae";"Mordella sp. 1";2,5;"Herbivore"
"Royal Park";"Kunzea leptospermoides";"Beetles";"Mordellidae";"Mordella sp. 1";2,5;"Herbivore"
"Royal Park";"Melaleuca armillaris";"Beetles";"Mordellidae";"Mordella sp. 1";2,5;"Herbivore"
"Pleasance Gardens";"Schinus molle";"Beetles";"Mordellidae";"Mordella sp. 1";2,5;"Herbivore"
"Westgate Park";"Allocasuarina verticillata";"Beetles";"Mordellidae";"Mordella sp. 2";5;"Herbivore"
"Royal Park";"Acacia mearnsii";"Beetles";"Phalacridae";"Litochrus sp. 1";2,5;"Herbivore"
"Royal Park";"Corymbia maculata";"Beetles";"Phalacridae";"Litochrus sp. 1";2,5;"Herbivore"
"Royal Park";"Melaleuca viminalis";"Beetles";"Phalacridae";"Litochrus sp. 1";2,5;"Herbivore"
"Royal Park";"Bursaria spinosa";"Beetles";"Phalacridae";"Litochrus sp. 2";2;"Herbivore"
"Royal Park";"Poa labillardierei";"Beetles";"Phalacridae ";"Phalacrinus sp. 1 (corruscans group)";2,5;"Herbivore"
"Royal Park";"Rytidosperma sp.";"Beetles";"Phalacridae ";"Phalacrinus sp. 1 (corruscans group)";2,5;"Herbivore"
"Royal Park";"Rytidosperma sp.";"Beetles";"Phalacridae ";"Phalacrinus sp. 1 (corruscans group)";2,5;"Herbivore"
"Royal Park";"Themeda triandra";"Beetles";"Phalacridae ";"Phalacrinus sp. 1 (corruscans group)";2,5;"Herbivore"
"Royal Park";"Themeda triandra";"Beetles";"Phalacridae ";"Phalacrinus sp. 1 (corruscans group)";2,5;"Herbivore"
"Princes Park";"Cynodon dactylon22";"Beetles";"Phalacridae ";"Phalacrinus sp. 1 (corruscans group)";2,5;"Herbivore"
"Royal Park";"Acacia acinacea";"Beetles";"Phalacridae ";"Phalacrinus sp. 1 (corruscans group)";2,5;"Herbivore"
"Royal Park";"Acacia mearnsii";"Beetles";"Phalacridae ";"Phalacrinus sp. 1 (corruscans group)";2,5;"Herbivore"
"Royal Park";"Melaleuca viminalis";"Beetles";"Phalacridae ";"Phalacrinus sp. 1 (corruscans group)";2,5;"Herbivore"
"Argyle Square";"Buxus sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Buxus sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Buxus sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Nandina domestica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Nandina domestica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Nandina domestica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Nandina domestica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Nandina domestica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Nandina domestica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Nandina domestica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Nandina domestica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Nandina domestica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Nandina domestica";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Helleborus sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Helleborus sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Helleborus sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Helleborus sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Helleborus sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Helleborus sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Poa labillardierei";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Poa labillardierei";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Princes Park";"Poa labillardierei";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Poa labillardierei";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Rytidosperma sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Rytidosperma sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Rytidosperma sp.";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Themeda triandra";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Themeda triandra";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Royal Park";"Themeda triandra";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Carex flagellifera";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Fitzroy-Treasury Gardens";"Carex flagellifera";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Argyle Square";"Cynodon dactylon01";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Argyle Square";"Cynodon dactylon01";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Argyle Square";"Cynodon dactylon02";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Argyle Square";"Cynodon dactylon02";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Cynodon dactylon04";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
"Carlton Gardens South";"Cynodon dactylon04";"Flies";"Ephydridae";"Hydrellia tritici";2;"Herbivore"
