siteA,siteB,neardist,nearX,nearY
Murchinson Square,Westgate Park,6260.11,321509.28,5814395.94
Murchinson Square,Women's Peace Gardens,4341.48,321515.02,5814445.22
Pleasance Gardens,Argyle Square,1779.08,319197.10,5814781.00
Pleasance Gardens,Canning/Neil Street Reserve,2425.12,319197.72,5814788.25
Pleasance Gardens,Carlton Gardens South,2231.07,319196.73,5814780.09
Pleasance Gardens,Fitzroy-Treasury Gardens,3107.62,319195.28,5814777.54
Pleasance Gardens,Gardiner Reserve,245.60,319062.70,5814786.69
Pleasance Gardens,Garrard Street Reserve,1880.11,319067.25,5814813.26
Pleasance Gardens,Lincoln Square,1524.14,319196.92,5814780.54
Pleasance Gardens,Murchinson Square,2341.83,319197.80,5814783.86
Pleasance Gardens,Princes Park,1340.55,319196.07,5814792.84
Pleasance Gardens,Royal Park,351.17,319189.66,5814798.71
Pleasance Gardens,State Library of Victoria,2133.64,319194.36,5814776.39
Pleasance Gardens,University Square,1250.03,319197.26,5814781.47
Pleasance Gardens,Westgate Park,4688.67,319061.87,5814787.28
Pleasance Gardens,Women's Peace Gardens,1868.06,319056.70,5814803.19
Princes Park,Argyle Square,1214.02,320500.95,5815347.65
Princes Park,Canning/Neil Street Reserve,1052.46,320563.17,5815421.99
Princes Park,Carlton Gardens South,1642.67,320505.85,5815349.66
Princes Park,Fitzroy-Treasury Gardens,2532.00,320510.34,5815352.48
Princes Park,Gardiner Reserve,1639.51,320356.48,5815465.03
Princes Park,Garrard Street Reserve,1585.40,320372.98,5816571.56
Princes Park,Lincoln Square,1129.68,320494.73,5815346.37
Princes Park,Murchinson Square,1349.29,320540.55,5815378.50
Princes Park,Pleasance Gardens,1340.55,320349.38,5815476.18
Princes Park,Royal Park,85.25,320392.82,5816832.99
Princes Park,State Library of Victoria,2011.67,320496.83,5815346.65
Princes Park,University Square,949.69,320488.37,5815346.38
Princes Park,Westgate Park,6036.59,320404.83,5815406.02
Princes Park,Women's Peace Gardens,3046.90,320299.71,5815605.80
Royal Park,Argyle Square,1257.93,320214.05,5815262.62
Royal Park,Canning/Neil Street Reserve,1379.73,320214.64,5815270.46
Royal Park,Carlton Gardens South,1721.12,320214.05,5815262.62
Royal Park,Fitzroy-Treasury Gardens,2656.58,320214.05,5815262.62
Royal Park,Gardiner Reserve,653.87,319283.31,5815137.17
Royal Park,Garrard Street Reserve,256.02,318823.82,5816419.01
Royal Park,Lincoln Square,1114.29,320214.05,5815262.62
Royal Park,Murchinson Square,1536.45,320214.05,5815262.62
Royal Park,Pleasance Gardens,351.17,319283.31,5815137.17
Royal Park,Princes Park,85.25,320308.29,5816844.05
Royal Park,State Library of Victoria,1888.05,319745.65,5814928.19
Royal Park,University Square,827.80,319793.01,5814977.21
Royal Park,Westgate Park,5101.19,319283.31,5815137.17
Royal Park,Women's Peace Gardens,1588.84,318605.18,5816185.81
State Library of Victoria,Argyle Square,704.24,320809.76,5813359.47
State Library of Victoria,Canning/Neil Street Reserve,1975.96,320809.76,5813359.47
State Library of Victoria,Carlton Gardens South,486.42,320809.76,5813359.47
State Library of Victoria,Fitzroy-Treasury Gardens,914.28,320844.34,5813270.30
State Library of Victoria,Gardiner Reserve,2089.15,320779.87,5813348.60
State Library of Victoria,Garrard Street Reserve,3876.33,320779.87,5813348.60
State Library of Victoria,Lincoln Square,729.61,320809.76,5813359.47
State Library of Victoria,Murchinson Square,1250.45,320809.76,5813359.47
State Library of Victoria,Pleasance Gardens,2133.64,320779.87,5813348.60
State Library of Victoria,Princes Park,2011.67,320809.76,5813359.47
State Library of Victoria,Royal Park,1888.05,320779.87,5813348.60
State Library of Victoria,University Square,905.64,320779.87,5813348.60
State Library of Victoria,Westgate Park,5095.72,320809.02,5813256.22
State Library of Victoria,Women's Peace Gardens,4035.87,320779.87,5813348.60
University Square,Argyle Square,417.22,320479.78,5814323.11
University Square,Canning/Neil Street Reserve,1354.98,320487.94,5814390.69
University Square,Carlton Gardens South,848.12,320449.41,5814191.80
University Square,Fitzroy-Treasury Gardens,1772.31,320449.41,5814191.80
University Square,Gardiner Reserve,1399.45,320380.58,5814336.79
University Square,Garrard Street Reserve,2779.34,320388.29,5814401.97
University Square,Lincoln Square,161.27,320455.33,5814242.03
University Square,Murchinson Square,1021.36,320487.94,5814390.69
University Square,Pleasance Gardens,1250.03,320388.29,5814401.97
University Square,Princes Park,949.69,320390.27,5814401.77
University Square,Royal Park,827.80,320388.29,5814401.97
University Square,State Library of Victoria,905.64,320449.41,5814191.80
University Square,Westgate Park,5217.14,320379.50,5814199.92
University Square,Women's Peace Gardens,3258.77,320388.29,5814401.97
Westgate Park,Argyle Square,5534.31,316207.12,5811067.86
Westgate Park,Canning/Neil Street Reserve,6773.00,316207.12,5811067.86
Westgate Park,Carlton Gardens South,5623.46,316207.12,5811067.86
Westgate Park,Fitzroy-Treasury Gardens,5788.21,316207.12,5811067.86
Westgate Park,Gardiner Reserve,4342.60,316207.12,5811067.86
Westgate Park,Garrard Street Reserve,6153.56,316207.12,5811067.86
Westgate Park,Lincoln Square,5333.84,316207.12,5811067.86
Westgate Park,Murchinson Square,6260.11,316207.12,5811067.86
Westgate Park,Pleasance Gardens,4688.67,316207.12,5811067.86
Westgate Park,Princes Park,6036.59,316207.12,5811067.86
Westgate Park,Royal Park,5101.19,316207.12,5811067.86
Westgate Park,State Library of Victoria,5095.72,316207.12,5811067.86
Westgate Park,University Square,5217.14,316207.12,5811067.86
Westgate Park,Women's Peace Gardens,4314.91,316207.12,5811067.86
Women's Peace Gardens,Argyle Square,3786.52,317265.11,5815332.22
Women's Peace Gardens,Canning/Neil Street Reserve,4328.91,317265.11,5815332.22
Women's Peace Gardens,Carlton Gardens South,4230.09,317265.11,5815332.22
Women's Peace Gardens,Fitzroy-Treasury Gardens,5038.34,317265.11,5815332.22
Women's Peace Gardens,Gardiner Reserve,1859.26,317265.11,5815332.22
Women's Peace Gardens,Garrard Street Reserve,1989.41,317223.03,5815385.31
Women's Peace Gardens,Lincoln Square,3529.17,317265.11,5815332.22
Women's Peace Gardens,Murchinson Square,4341.48,317265.11,5815332.22
Women's Peace Gardens,Pleasance Gardens,1868.06,317265.11,5815332.22
Women's Peace Gardens,Princes Park,3046.90,317265.11,5815332.22
Women's Peace Gardens,Royal Park,1588.84,317265.11,5815332.22
Women's Peace Gardens,State Library of Victoria,4035.87,317265.11,5815332.22
Women's Peace Gardens,University Square,3258.77,317265.11,5815332.22
Women's Peace Gardens,Westgate Park,4314.91,317183.16,5815270.93
