siteA,siteB,neardist,nearX,nearY
Argyle Square,Canning/Neil Street Reserve,1168.04,320976.68,5814181.61
Argyle Square,Carlton Gardens South,325.15,320961.75,5814050.93
Argyle Square,Fitzroy-Treasury Gardens,1298.21,320961.75,5814050.93
Argyle Square,Gardiner Reserve,1908.29,320876.22,5814193.08
Argyle Square,Garrard Street Reserve,3243.14,320876.22,5814193.08
Argyle Square,Lincoln Square,161.29,320861.32,5814062.63
Argyle Square,Murchinson Square,574.12,320976.68,5814181.61
Argyle Square,Pleasance Gardens,1779.08,320876.22,5814193.08
Argyle Square,Princes Park,1214.02,320876.22,5814193.08
Argyle Square,Royal Park,1257.93,320876.22,5814193.08
Argyle Square,State Library of Victoria,704.24,320889.69,5814059.16
Argyle Square,University Square,417.22,320876.22,5814193.08
Argyle Square,Westgate Park,5534.31,320861.29,5814062.40
Argyle Square,Women's Peace Gardens,3786.52,320876.22,5814193.08
Canning/Neil Street Reserve,Argyle Square,1168.04,321594.25,5815173.03
Canning/Neil Street Reserve,Carlton Gardens South,1325.56,321594.25,5815173.03
Canning/Neil Street Reserve,Fitzroy-Treasury Gardens,1886.97,321594.25,5815173.03
Canning/Neil Street Reserve,Gardiner Reserve,2669.97,321591.28,5815178.23
Canning/Neil Street Reserve,Garrard Street Reserve,3161.27,321596.07,5815220.01
Canning/Neil Street Reserve,Lincoln Square,1302.83,321594.25,5815173.03
Canning/Neil Street Reserve,Murchinson Square,732.11,321594.25,5815173.03
Canning/Neil Street Reserve,Pleasance Gardens,2425.12,321591.28,5815178.23
Canning/Neil Street Reserve,Princes Park,1052.46,321596.07,5815220.01
Canning/Neil Street Reserve,Royal Park,1379.73,321591.28,5815178.23
Canning/Neil Street Reserve,State Library of Victoria,1975.96,321594.25,5815173.03
Canning/Neil Street Reserve,University Square,1354.98,321594.25,5815173.03
Canning/Neil Street Reserve,Westgate Park,6773.00,321594.25,5815173.03
Canning/Neil Street Reserve,Women's Peace Gardens,4328.91,321591.28,5815178.23
Carlton Gardens South,Argyle Square,325.15,321237.77,5813879.06
Carlton Gardens South,Canning/Neil Street Reserve,1325.56,321446.99,5813855.67
Carlton Gardens South,Fitzroy-Treasury Gardens,544.08,321567.91,5813595.60
Carlton Gardens South,Gardiner Reserve,2319.03,321237.77,5813879.06
Carlton Gardens South,Garrard Street Reserve,3716.89,321237.77,5813879.06
Carlton Gardens South,Lincoln Square,573.41,321237.77,5813879.06
Carlton Gardens South,Murchinson Square,543.57,321524.54,5813847.00
Carlton Gardens South,Pleasance Gardens,2231.07,321237.77,5813879.06
Carlton Gardens South,Princes Park,1642.67,321237.77,5813879.06
Carlton Gardens South,Royal Park,1721.12,321237.77,5813879.06
Carlton Gardens South,State Library of Victoria,486.42,321209.90,5813636.04
Carlton Gardens South,University Square,848.12,321237.77,5813879.06
Carlton Gardens South,Westgate Park,5623.46,321209.90,5813636.04
Carlton Gardens South,Women's Peace Gardens,4230.09,321237.77,5813879.06
Fitzroy-Treasury Gardens,Argyle Square,1298.21,322049.11,5813341.70
Fitzroy-Treasury Gardens,Canning/Neil Street Reserve,1886.97,322049.11,5813341.70
Fitzroy-Treasury Gardens,Carlton Gardens South,544.08,322049.11,5813341.70
Fitzroy-Treasury Gardens,Gardiner Reserve,3090.88,321690.04,5812922.87
Fitzroy-Treasury Gardens,Garrard Street Reserve,4662.63,322049.11,5813341.70
Fitzroy-Treasury Gardens,Lincoln Square,1520.01,321694.29,5812930.31
Fitzroy-Treasury Gardens,Murchinson Square,1143.91,322049.11,5813341.70
Fitzroy-Treasury Gardens,Pleasance Gardens,3107.62,321694.29,5812930.31
Fitzroy-Treasury Gardens,Princes Park,2532.00,322049.11,5813341.70
Fitzroy-Treasury Gardens,Royal Park,2656.58,322049.11,5813341.70
Fitzroy-Treasury Gardens,State Library of Victoria,914.28,321690.04,5812922.87
Fitzroy-Treasury Gardens,University Square,1772.31,321694.29,5812930.31
Fitzroy-Treasury Gardens,Westgate Park,5788.21,321690.04,5812922.87
Fitzroy-Treasury Gardens,Women's Peace Gardens,5038.34,321690.04,5812922.87
Gardiner Reserve,Argyle Square,1908.29,318980.50,5814411.77
Gardiner Reserve,Canning/Neil Street Reserve,2669.97,318996.39,5814549.53
Gardiner Reserve,Carlton Gardens South,2319.03,318980.26,5814409.70
Gardiner Reserve,Fitzroy-Treasury Gardens,3090.88,318980.26,5814409.70
Gardiner Reserve,Garrard Street Reserve,2131.20,318993.42,5814551.07
Gardiner Reserve,Lincoln Square,1645.83,318980.26,5814409.70
Gardiner Reserve,Murchinson Square,2517.58,318996.39,5814549.53
Gardiner Reserve,Pleasance Gardens,245.60,318993.42,5814551.07
Gardiner Reserve,Princes Park,1639.51,318996.39,5814549.53
Gardiner Reserve,Royal Park,653.87,318993.42,5814551.07
Gardiner Reserve,State Library of Victoria,2089.15,318980.26,5814409.70
Gardiner Reserve,University Square,1399.45,318990.35,5814497.17
Gardiner Reserve,Westgate Park,4342.60,318980.26,5814409.70
Gardiner Reserve,Women's Peace Gardens,1859.26,318921.24,5814487.18
Garrard Street Reserve,Argyle Square,3243.14,318790.24,5816676.35
Garrard Street Reserve,Canning/Neil Street Reserve,3161.27,318790.24,5816676.35
Garrard Street Reserve,Carlton Gardens South,3716.89,318790.24,5816676.35
Garrard Street Reserve,Fitzroy-Treasury Gardens,4662.63,318790.24,5816676.35
Garrard Street Reserve,Gardiner Reserve,2131.20,318784.66,5816672.01
Garrard Street Reserve,Lincoln Square,3057.58,318784.66,5816672.01
Garrard Street Reserve,Murchinson Square,3521.70,318790.24,5816676.35
Garrard Street Reserve,Pleasance Gardens,1880.11,318784.66,5816672.01
Garrard Street Reserve,Princes Park,1585.40,318792.13,5816691.51
Garrard Street Reserve,Royal Park,256.02,318784.66,5816672.01
Garrard Street Reserve,State Library of Victoria,3876.33,318784.66,5816672.01
Garrard Street Reserve,University Square,2779.34,318784.66,5816672.01
Garrard Street Reserve,Westgate Park,6153.56,318735.04,5816678.20
Garrard Street Reserve,Women's Peace Gardens,1989.41,318735.04,5816678.20
Lincoln Square,Argyle Square,161.29,320701.07,5814080.94
Lincoln Square,Canning/Neil Street Reserve,1302.83,320715.64,5814211.05
Lincoln Square,Carlton Gardens South,573.41,320701.07,5814080.94
Lincoln Square,Fitzroy-Treasury Gardens,1520.01,320701.07,5814080.94
Lincoln Square,Gardiner Reserve,1645.83,320615.17,5814220.37
Lincoln Square,Garrard Street Reserve,3057.58,320615.49,5814223.17
Lincoln Square,Murchinson Square,814.90,320715.64,5814211.05
Lincoln Square,Pleasance Gardens,1524.14,320615.49,5814223.17
Lincoln Square,Princes Park,1129.68,320615.49,5814223.17
Lincoln Square,Royal Park,1114.29,320615.49,5814223.17
Lincoln Square,State Library of Victoria,729.61,320701.07,5814080.94
Lincoln Square,University Square,161.27,320615.49,5814223.17
Lincoln Square,Westgate Park,5333.84,320600.38,5814092.62
Lincoln Square,Women's Peace Gardens,3529.17,320615.49,5814223.17
Murchinson Square,Argyle Square,574.12,321509.28,5814395.94
Murchinson Square,Canning/Neil Street Reserve,732.11,321515.02,5814445.22
Murchinson Square,Carlton Gardens South,543.57,321584.93,5814387.21
Murchinson Square,Fitzroy-Treasury Gardens,1143.91,321584.93,5814387.21
Murchinson Square,Gardiner Reserve,2517.58,321509.28,5814395.94
Murchinson Square,Garrard Street Reserve,3521.70,321515.02,5814445.22
Murchinson Square,Lincoln Square,814.90,321509.28,5814395.94
Murchinson Square,Pleasance Gardens,2341.83,321515.02,5814445.22
Murchinson Square,Princes Park,1349.29,321515.02,5814445.22
Murchinson Square,Royal Park,1536.45,321515.02,5814445.22
Murchinson Square,State Library of Victoria,1250.45,321509.28,5814395.94
Murchinson Square,University Square,1021.36,321509.28,5814395.94
