"site";"interaction_type";"species";"species_functional_group";"metric";"value"
"Argyle Square";"Herbivory";"Cynodon dactylon02";"Plant";"weighted.closeness";0,0516772903600663
"Argyle Square";"Herbivory";"Lavandula sp.";"Plant";"normalised.degree";0,25
"Argyle Square";"Herbivory";"Lavandula sp.";"Plant";"species.strength";1,71363636363636
"Argyle Square";"Herbivory";"Lavandula sp.";"Plant";"d";0,12716311863583
"Argyle Square";"Herbivory";"Lavandula sp.";"Plant";"betweenness";0,166666666666667
"Argyle Square";"Herbivory";"Lavandula sp.";"Plant";"weighted.betweenness";0,0720720720720721
"Argyle Square";"Herbivory";"Lavandula sp.";"Plant";"closeness";0,103448275862069
"Argyle Square";"Herbivory";"Lavandula sp.";"Plant";"weighted.closeness";0,115128573293304
"Argyle Square";"Herbivory";"Mentha pulegium";"Plant";"normalised.degree";0,3
"Argyle Square";"Herbivory";"Mentha pulegium";"Plant";"species.strength";2,58181818181818
"Argyle Square";"Herbivory";"Mentha pulegium";"Plant";"d";0,191006171617692
"Argyle Square";"Herbivory";"Mentha pulegium";"Plant";"betweenness";0,166666666666667
"Argyle Square";"Herbivory";"Mentha pulegium";"Plant";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Mentha pulegium";"Plant";"closeness";0,103448275862069
"Argyle Square";"Herbivory";"Mentha pulegium";"Plant";"weighted.closeness";0,105170902716915
"Argyle Square";"Herbivory";"Plectranthus argentatus";"Plant";"normalised.degree";0,4
"Argyle Square";"Herbivory";"Plectranthus argentatus";"Plant";"species.strength";4,47424242424242
"Argyle Square";"Herbivory";"Plectranthus argentatus";"Plant";"d";0,427784671259106
"Argyle Square";"Herbivory";"Plectranthus argentatus";"Plant";"betweenness";0
"Argyle Square";"Herbivory";"Plectranthus argentatus";"Plant";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Plectranthus argentatus";"Plant";"closeness";0,0977011494252874
"Argyle Square";"Herbivory";"Plectranthus argentatus";"Plant";"weighted.closeness";0,0814405058791212
"Argyle Square";"Herbivory";"Pyrus calleryana";"Plant";"normalised.degree";0,05
"Argyle Square";"Herbivory";"Pyrus calleryana";"Plant";"species.strength";0,05
"Argyle Square";"Herbivory";"Pyrus calleryana";"Plant";"d";0
"Argyle Square";"Herbivory";"Pyrus calleryana";"Plant";"betweenness";0
"Argyle Square";"Herbivory";"Pyrus calleryana";"Plant";"weighted.betweenness";0
"Argyle Square";"Herbivory";"Pyrus calleryana";"Plant";"closeness";0,0977011494252874
"Argyle Square";"Herbivory";"Pyrus calleryana";"Plant";"weighted.closeness";0,0271230222796254
"Argyle Square";"Herbivory";"Rosmarinus officinalis";"Plant";"normalised.degree";0,45
"Argyle Square";"Herbivory";"Rosmarinus officinalis";"Plant";"species.strength";4,6469696969697
"Argyle Square";"Herbivory";"Rosmarinus officinalis";"Plant";"d";0,131556238937413
"Argyle Square";"Herbivory";"Rosmarinus officinalis";"Plant";"betweenness";0,166666666666667
"Argyle Square";"Herbivory";"Rosmarinus officinalis";"Plant";"weighted.betweenness";0,90990990990991
