"site";"interaction_type";"rep";"metric";"value"
"Argyle Square";"Pollinator";1;"richness";25
"Argyle Square";"Pollinator";1;"connectance";0,8
"Argyle Square";"Pollinator";1;"link_density";9,6
"Argyle Square";"Pollinator";1;"degree_heterogeneity";3,18821269496571
"Argyle Square";"Pollinator";1;"modularity_eigen";0,0555208333333334
"Argyle Square";"Pollinator";1;"modularity_betweenness";0,01875
"Argyle Square";"Pollinator";1;"nestedness";36,4012839012839
"Argyle Square";"Pollinator";1;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";1;"centrality_betweenness";0,0369928149028177
"Argyle Square";"Pollinator";1;"centrality_eigen";0,25848401760976
"Argyle Square";"Pollinator";1;"interaction_overlap";0,804649748218376
"Argyle Square";"Pollinator";2;"richness";25
"Argyle Square";"Pollinator";2;"connectance";0,8
"Argyle Square";"Pollinator";2;"link_density";9,6
"Argyle Square";"Pollinator";2;"degree_heterogeneity";3,19241415577534
"Argyle Square";"Pollinator";2;"modularity_eigen";0,0657986111111111
"Argyle Square";"Pollinator";2;"modularity_betweenness";0,00749999999999999
"Argyle Square";"Pollinator";2;"nestedness";28,4813612313612
"Argyle Square";"Pollinator";2;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";2;"centrality_betweenness";0,0377429770157213
"Argyle Square";"Pollinator";2;"centrality_eigen";0,258926553965446
"Argyle Square";"Pollinator";2;"interaction_overlap";0,808285506795311
"Argyle Square";"Pollinator";3;"richness";25
"Argyle Square";"Pollinator";3;"connectance";0,8
"Argyle Square";"Pollinator";3;"link_density";9,6
"Argyle Square";"Pollinator";3;"degree_heterogeneity";3,19398412023078
"Argyle Square";"Pollinator";3;"modularity_eigen";0,0759375
"Argyle Square";"Pollinator";3;"modularity_betweenness";0,0122222222222222
"Argyle Square";"Pollinator";3;"nestedness";31,4743867243867
"Argyle Square";"Pollinator";3;"centrality_degree";0,0737847222222222
"Argyle Square";"Pollinator";3;"centrality_betweenness";0,0294793181424712
"Argyle Square";"Pollinator";3;"centrality_eigen";0,195950092248018
"Argyle Square";"Pollinator";3;"interaction_overlap";0,806412075941488
"Argyle Square";"Pollinator";4;"richness";25
"Argyle Square";"Pollinator";4;"connectance";0,8
"Argyle Square";"Pollinator";4;"link_density";9,6
"Argyle Square";"Pollinator";4;"degree_heterogeneity";3,1897265752945
"Argyle Square";"Pollinator";4;"modularity_eigen";0,0798611111111112
"Argyle Square";"Pollinator";4;"modularity_betweenness";0,00749999999999999
"Argyle Square";"Pollinator";4;"nestedness";35,8938838938839
"Argyle Square";"Pollinator";4;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";4;"centrality_betweenness";0,039018101794577
"Argyle Square";"Pollinator";4;"centrality_eigen";0,256442108613507
"Argyle Square";"Pollinator";4;"interaction_overlap";0,798179628726584
"Argyle Square";"Pollinator";5;"richness";25
"Argyle Square";"Pollinator";5;"connectance";0,8
"Argyle Square";"Pollinator";5;"link_density";9,6
"Argyle Square";"Pollinator";5;"degree_heterogeneity";3,18843558377146
"Argyle Square";"Pollinator";5;"modularity_eigen";0,0631944444444446
"Argyle Square";"Pollinator";5;"modularity_betweenness";0,0160416666666667
"Argyle Square";"Pollinator";5;"nestedness";43,5864857364857
"Argyle Square";"Pollinator";5;"centrality_degree";0,1171875
"Argyle Square";"Pollinator";5;"centrality_betweenness";0,0512149047124132
"Argyle Square";"Pollinator";5;"centrality_eigen";0,300126659188774
"Argyle Square";"Pollinator";5;"interaction_overlap";0,811654225222853
"Argyle Square";"Pollinator";6;"richness";25
"Argyle Square";"Pollinator";6;"connectance";0,8
"Argyle Square";"Pollinator";6;"link_density";9,6
"Argyle Square";"Pollinator";6;"degree_heterogeneity";3,19276364261427
"Argyle Square";"Pollinator";6;"modularity_eigen";0,0727777777777777
"Argyle Square";"Pollinator";6;"modularity_betweenness";0,0127777777777778
"Argyle Square";"Pollinator";6;"nestedness";46,0429292929293
"Argyle Square";"Pollinator";6;"centrality_degree";0,0737847222222222
"Argyle Square";"Pollinator";6;"centrality_betweenness";0,0312460029394067
"Argyle Square";"Pollinator";6;"centrality_eigen";0,199744420151884
