"site";"interaction_type";"rep";"metric";"value"
"Argyle Square";"Pollinator";6;"interaction_overlap";0,796517092967041
"Argyle Square";"Pollinator";7;"richness";25
"Argyle Square";"Pollinator";7;"connectance";0,8
"Argyle Square";"Pollinator";7;"link_density";9,6
"Argyle Square";"Pollinator";7;"degree_heterogeneity";3,18995335036172
"Argyle Square";"Pollinator";7;"modularity_eigen";0,090798611111111
"Argyle Square";"Pollinator";7;"modularity_betweenness";0,00625000000000001
"Argyle Square";"Pollinator";7;"nestedness";32,2232989232989
"Argyle Square";"Pollinator";7;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";7;"centrality_betweenness";0,040271094773486
"Argyle Square";"Pollinator";7;"centrality_eigen";0,26593100033002
"Argyle Square";"Pollinator";7;"interaction_overlap";0,804039662588682
"Argyle Square";"Pollinator";8;"richness";25
"Argyle Square";"Pollinator";8;"connectance";0,8
"Argyle Square";"Pollinator";8;"link_density";9,6
"Argyle Square";"Pollinator";8;"degree_heterogeneity";3,1882690001635
"Argyle Square";"Pollinator";8;"modularity_eigen";0,0618402777777778
"Argyle Square";"Pollinator";8;"modularity_betweenness";0,0127777777777778
"Argyle Square";"Pollinator";8;"nestedness";39,5653457653458
"Argyle Square";"Pollinator";8;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";8;"centrality_betweenness";0,0387731739817443
"Argyle Square";"Pollinator";8;"centrality_eigen";0,255593749435705
"Argyle Square";"Pollinator";8;"interaction_overlap";0,799510027792794
"Argyle Square";"Pollinator";9;"richness";25
"Argyle Square";"Pollinator";9;"connectance";0,8
"Argyle Square";"Pollinator";9;"link_density";9,6
"Argyle Square";"Pollinator";9;"degree_heterogeneity";3,19008814625987
"Argyle Square";"Pollinator";9;"modularity_eigen";0,0416319444444444
"Argyle Square";"Pollinator";9;"modularity_betweenness";0,00208333333333334
"Argyle Square";"Pollinator";9;"nestedness";32,5615366115366
"Argyle Square";"Pollinator";9;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";9;"centrality_betweenness";0,0422831068802514
"Argyle Square";"Pollinator";9;"centrality_eigen";0,245494021468867
"Argyle Square";"Pollinator";9;"interaction_overlap";0,801266005637523
"Argyle Square";"Pollinator";10;"richness";25
"Argyle Square";"Pollinator";10;"connectance";0,8
"Argyle Square";"Pollinator";10;"link_density";9,6
"Argyle Square";"Pollinator";10;"degree_heterogeneity";3,1832125652818
"Argyle Square";"Pollinator";10;"modularity_eigen";0,0628125
"Argyle Square";"Pollinator";10;"modularity_betweenness";0,00791666666666667
"Argyle Square";"Pollinator";10;"nestedness";32,9529914529915
"Argyle Square";"Pollinator";10;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";10;"centrality_betweenness";0,0554710250115905
"Argyle Square";"Pollinator";10;"centrality_eigen";0,229801918665012
"Argyle Square";"Pollinator";10;"interaction_overlap";0,78744508619844
"Argyle Square";"Pollinator";11;"richness";25
"Argyle Square";"Pollinator";11;"connectance";0,8
"Argyle Square";"Pollinator";11;"link_density";9,6
"Argyle Square";"Pollinator";11;"degree_heterogeneity";3,18909760973202
"Argyle Square";"Pollinator";11;"modularity_eigen";0,0357986111111111
"Argyle Square";"Pollinator";11;"modularity_betweenness";0,0188194444444444
"Argyle Square";"Pollinator";11;"nestedness";41,3976190476191
"Argyle Square";"Pollinator";11;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";11;"centrality_betweenness";0,0436252737321495
"Argyle Square";"Pollinator";11;"centrality_eigen";0,241288934758601
"Argyle Square";"Pollinator";11;"interaction_overlap";0,7977968408536
"Argyle Square";"Pollinator";12;"richness";25
"Argyle Square";"Pollinator";12;"connectance";0,8
"Argyle Square";"Pollinator";12;"link_density";9,6
"Argyle Square";"Pollinator";12;"degree_heterogeneity";3,19061639350524
"Argyle Square";"Pollinator";12;"modularity_eigen";0,0615625
"Argyle Square";"Pollinator";12;"modularity_betweenness";0,0209722222222222
"Argyle Square";"Pollinator";12;"nestedness";39,9520202020202
"Argyle Square";"Pollinator";12;"centrality_degree";0,1171875
"Argyle Square";"Pollinator";12;"centrality_betweenness";0,0525657443956301
"Argyle Square";"Pollinator";12;"centrality_eigen";0,301029597224339
"Argyle Square";"Pollinator";12;"interaction_overlap";0,803939460684559
"Argyle Square";"Pollinator";13;"richness";25
"Argyle Square";"Pollinator";13;"connectance";0,8
"Argyle Square";"Pollinator";13;"link_density";9,6
"Argyle Square";"Pollinator";13;"degree_heterogeneity";3,18810645937241
"Argyle Square";"Pollinator";13;"modularity_eigen";0,0998611111111112
"Argyle Square";"Pollinator";13;"modularity_betweenness";0,0183333333333333
"Argyle Square";"Pollinator";13;"nestedness";45,6332852332852
"Argyle Square";"Pollinator";13;"centrality_degree";0,1171875
"Argyle Square";"Pollinator";13;"centrality_betweenness";0,0530332369493749
"Argyle Square";"Pollinator";13;"centrality_eigen";0,29749441469065
"Argyle Square";"Pollinator";13;"interaction_overlap";0,806627156125608
"Argyle Square";"Pollinator";14;"richness";25
"Argyle Square";"Pollinator";14;"connectance";0,8
"Argyle Square";"Pollinator";14;"link_density";9,6
"Argyle Square";"Pollinator";14;"degree_heterogeneity";3,19183217145463
"Argyle Square";"Pollinator";14;"modularity_eigen";0,107465277777778
"Argyle Square";"Pollinator";14;"modularity_betweenness";0,018125
"Argyle Square";"Pollinator";14;"nestedness";35,8993672993673
"Argyle Square";"Pollinator";14;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";14;"centrality_betweenness";0,0394383643686858
"Argyle Square";"Pollinator";14;"centrality_eigen";0,254879848201679
"Argyle Square";"Pollinator";14;"interaction_overlap";0,801397985494993
"Argyle Square";"Pollinator";15;"richness";25
"Argyle Square";"Pollinator";15;"connectance";0,8
"Argyle Square";"Pollinator";15;"link_density";9,6
"Argyle Square";"Pollinator";15;"degree_heterogeneity";3,1825280258457
"Argyle Square";"Pollinator";15;"modularity_eigen";0,0249652777777777
"Argyle Square";"Pollinator";15;"modularity_betweenness";0,00687500000000001
"Argyle Square";"Pollinator";15;"nestedness";37,0260461760462
"Argyle Square";"Pollinator";15;"centrality_degree";0,1171875
"Argyle Square";"Pollinator";15;"centrality_betweenness";0,0604784577263316
"Argyle Square";"Pollinator";15;"centrality_eigen";0,286216904229918
"Argyle Square";"Pollinator";15;"interaction_overlap";0,793868002119808
"Argyle Square";"Pollinator";16;"richness";25
"Argyle Square";"Pollinator";16;"connectance";0,8
"Argyle Square";"Pollinator";16;"link_density";9,6
"Argyle Square";"Pollinator";16;"degree_heterogeneity";3,19207989263093
"Argyle Square";"Pollinator";16;"modularity_eigen";0,0732986111111111
"Argyle Square";"Pollinator";16;"modularity_betweenness";0,00812500000000001
"Argyle Square";"Pollinator";16;"nestedness";24,0630203130203
"Argyle Square";"Pollinator";16;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";16;"centrality_betweenness";0,0377912197733326
"Argyle Square";"Pollinator";16;"centrality_eigen";0,257488653717064
"Argyle Square";"Pollinator";16;"interaction_overlap";0,805811739840636
"Argyle Square";"Pollinator";17;"richness";25
"Argyle Square";"Pollinator";17;"connectance";0,8
"Argyle Square";"Pollinator";17;"link_density";9,6
"Argyle Square";"Pollinator";17;"degree_heterogeneity";3,19171587637772
"Argyle Square";"Pollinator";17;"modularity_eigen";0,0665277777777779
"Argyle Square";"Pollinator";17;"modularity_betweenness";0,015
"Argyle Square";"Pollinator";17;"nestedness";34,2919913419913
"Argyle Square";"Pollinator";17;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";17;"centrality_betweenness";0,0411523533980159
"Argyle Square";"Pollinator";17;"centrality_eigen";0,247541244612288
"Argyle Square";"Pollinator";17;"interaction_overlap";0,800279404729353
"Argyle Square";"Pollinator";18;"richness";25
"Argyle Square";"Pollinator";18;"connectance";0,8
"Argyle Square";"Pollinator";18;"link_density";9,6
"Argyle Square";"Pollinator";18;"degree_heterogeneity";3,18632797670472
"Argyle Square";"Pollinator";18;"modularity_eigen";0,0866319444444445
"Argyle Square";"Pollinator";18;"modularity_betweenness";0,0208333333333333
"Argyle Square";"Pollinator";18;"nestedness";38,7482128982129
"Argyle Square";"Pollinator";18;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";18;"centrality_betweenness";0,0434037590445676
"Argyle Square";"Pollinator";18;"centrality_eigen";0,250016342220793
"Argyle Square";"Pollinator";18;"interaction_overlap";0,79864831419011
"Argyle Square";"Pollinator";19;"richness";25
"Argyle Square";"Pollinator";19;"connectance";0,8
"Argyle Square";"Pollinator";19;"link_density";9,6
"Argyle Square";"Pollinator";19;"degree_heterogeneity";3,18805763130597
"Argyle Square";"Pollinator";19;"modularity_eigen";0,0773958333333334
"Argyle Square";"Pollinator";19;"modularity_betweenness";0,0183333333333333
"Argyle Square";"Pollinator";19;"nestedness";53,6667795167795
"Argyle Square";"Pollinator";19;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";19;"centrality_betweenness";0,0364840035869845
"Argyle Square";"Pollinator";19;"centrality_eigen";0,261328378402706
"Argyle Square";"Pollinator";19;"interaction_overlap";0,797504244942841
"Argyle Square";"Pollinator";20;"richness";25
"Argyle Square";"Pollinator";20;"connectance";0,8
"Argyle Square";"Pollinator";20;"link_density";9,6
"Argyle Square";"Pollinator";20;"degree_heterogeneity";3,18567806082974
"Argyle Square";"Pollinator";20;"modularity_eigen";0,0671875
"Argyle Square";"Pollinator";20;"modularity_betweenness";0,0241666666666667
"Argyle Square";"Pollinator";20;"nestedness";46,2147907647908
"Argyle Square";"Pollinator";20;"centrality_degree";0,1171875
"Argyle Square";"Pollinator";20;"centrality_betweenness";0,0562297313295131
"Argyle Square";"Pollinator";20;"centrality_eigen";0,291287922773399
"Argyle Square";"Pollinator";20;"interaction_overlap";0,800213093484507
"Argyle Square";"Pollinator";21;"richness";25
"Argyle Square";"Pollinator";21;"connectance";0,8
"Argyle Square";"Pollinator";21;"link_density";9,6
"Argyle Square";"Pollinator";21;"degree_heterogeneity";3,1873119187196
"Argyle Square";"Pollinator";21;"modularity_eigen";0,0816319444444444
"Argyle Square";"Pollinator";21;"modularity_betweenness";0,0172222222222222
"Argyle Square";"Pollinator";21;"nestedness";28,9285714285714
"Argyle Square";"Pollinator";21;"centrality_degree";0,0737847222222222
"Argyle Square";"Pollinator";21;"centrality_betweenness";0,0333967725163191
"Argyle Square";"Pollinator";21;"centrality_eigen";0,214477679010682
"Argyle Square";"Pollinator";21;"interaction_overlap";0,794064986269321
"Argyle Square";"Pollinator";22;"richness";25
"Argyle Square";"Pollinator";22;"connectance";0,8
"Argyle Square";"Pollinator";22;"link_density";9,6
"Argyle Square";"Pollinator";22;"degree_heterogeneity";3,1884589793718
"Argyle Square";"Pollinator";22;"modularity_eigen";0,090798611111111
"Argyle Square";"Pollinator";22;"modularity_betweenness";0,00937500000000001
"Argyle Square";"Pollinator";22;"nestedness";34,4611943611944
"Argyle Square";"Pollinator";22;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";22;"centrality_betweenness";0,0412113912666765
"Argyle Square";"Pollinator";22;"centrality_eigen";0,245177684241884
"Argyle Square";"Pollinator";22;"interaction_overlap";0,812236922119275
"Argyle Square";"Pollinator";23;"richness";25
"Argyle Square";"Pollinator";23;"connectance";0,8
"Argyle Square";"Pollinator";23;"link_density";9,6
"Argyle Square";"Pollinator";23;"degree_heterogeneity";3,19501232941298
"Argyle Square";"Pollinator";23;"modularity_eigen";0,0770486111111112
"Argyle Square";"Pollinator";23;"modularity_betweenness";0,0127777777777778
"Argyle Square";"Pollinator";23;"nestedness";30,6421356421356
"Argyle Square";"Pollinator";23;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";23;"centrality_betweenness";0,040269614932192
"Argyle Square";"Pollinator";23;"centrality_eigen";0,252861685745013
"Argyle Square";"Pollinator";23;"interaction_overlap";0,801072310405644
"Argyle Square";"Pollinator";24;"richness";25
"Argyle Square";"Pollinator";24;"connectance";0,8
"Argyle Square";"Pollinator";24;"link_density";9,6
"Argyle Square";"Pollinator";24;"degree_heterogeneity";3,17497366754144
"Argyle Square";"Pollinator";24;"modularity_eigen";0,0791319444444444
"Argyle Square";"Pollinator";24;"modularity_betweenness";0,00881944444444446
"Argyle Square";"Pollinator";24;"nestedness";29,8986291486292
"Argyle Square";"Pollinator";24;"centrality_degree";0,1171875
"Argyle Square";"Pollinator";24;"centrality_betweenness";0,0707593172081383
"Argyle Square";"Pollinator";24;"centrality_eigen";0,276782793228666
"Argyle Square";"Pollinator";24;"interaction_overlap";0,79445061195732
"Argyle Square";"Pollinator";25;"richness";25
"Argyle Square";"Pollinator";25;"connectance";0,8
"Argyle Square";"Pollinator";25;"link_density";9,6
"Argyle Square";"Pollinator";25;"degree_heterogeneity";3,18708436793584
"Argyle Square";"Pollinator";25;"modularity_eigen";0,0816319444444444
"Argyle Square";"Pollinator";25;"modularity_betweenness";0,0138888888888889
"Argyle Square";"Pollinator";25;"nestedness";33,457671957672
"Argyle Square";"Pollinator";25;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";25;"centrality_betweenness";0,0479395582314203
"Argyle Square";"Pollinator";25;"centrality_eigen";0,231999953930842
"Argyle Square";"Pollinator";25;"interaction_overlap";0,797677348298607
"Argyle Square";"Pollinator";26;"richness";25
"Argyle Square";"Pollinator";26;"connectance";0,8
"Argyle Square";"Pollinator";26;"link_density";9,6
"Argyle Square";"Pollinator";26;"degree_heterogeneity";3,19294827929991
"Argyle Square";"Pollinator";26;"modularity_eigen";0,0773958333333334
"Argyle Square";"Pollinator";26;"modularity_betweenness";0,0116666666666667
"Argyle Square";"Pollinator";26;"nestedness";28,0862526362526
"Argyle Square";"Pollinator";26;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";26;"centrality_betweenness";0,0388183083959535
"Argyle Square";"Pollinator";26;"centrality_eigen";0,252909696468726
"Argyle Square";"Pollinator";26;"interaction_overlap";0,808690167685008
"Argyle Square";"Pollinator";27;"richness";25
"Argyle Square";"Pollinator";27;"connectance";0,8
"Argyle Square";"Pollinator";27;"link_density";9,6
"Argyle Square";"Pollinator";27;"degree_heterogeneity";3,19400894306854
"Argyle Square";"Pollinator";27;"modularity_eigen";0,0798611111111112
"Argyle Square";"Pollinator";27;"modularity_betweenness";0,0175
"Argyle Square";"Pollinator";27;"nestedness";33,895670995671
"Argyle Square";"Pollinator";27;"centrality_degree";0,0737847222222222
"Argyle Square";"Pollinator";27;"centrality_betweenness";0,0288414536104175
"Argyle Square";"Pollinator";27;"centrality_eigen";0,203561338889178
"Argyle Square";"Pollinator";27;"interaction_overlap";0,801142266593247
"Argyle Square";"Pollinator";28;"richness";25
"Argyle Square";"Pollinator";28;"connectance";0,8
"Argyle Square";"Pollinator";28;"link_density";9,6
"Argyle Square";"Pollinator";28;"degree_heterogeneity";3,19243897861309
"Argyle Square";"Pollinator";28;"modularity_eigen";0,106631944444444
"Argyle Square";"Pollinator";28;"modularity_betweenness";0,0127777777777778
"Argyle Square";"Pollinator";28;"nestedness";24,4515151515152
"Argyle Square";"Pollinator";28;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";28;"centrality_betweenness";0,0421719565666508
"Argyle Square";"Pollinator";28;"centrality_eigen";0,242532295717407
"Argyle Square";"Pollinator";28;"interaction_overlap";0,804395317101199
"Argyle Square";"Pollinator";29;"richness";25
"Argyle Square";"Pollinator";29;"connectance";0,8
"Argyle Square";"Pollinator";29;"link_density";9,6
"Argyle Square";"Pollinator";29;"degree_heterogeneity";3,18753453873873
"Argyle Square";"Pollinator";29;"modularity_eigen";0,0732291666666667
"Argyle Square";"Pollinator";29;"modularity_betweenness";0,0194444444444444
"Argyle Square";"Pollinator";29;"nestedness";43,7986291486291
"Argyle Square";"Pollinator";29;"centrality_degree";0,1171875
"Argyle Square";"Pollinator";29;"centrality_betweenness";0,0526255122015898
"Argyle Square";"Pollinator";29;"centrality_eigen";0,296997870861826
"Argyle Square";"Pollinator";29;"interaction_overlap";0,809035545122232
"Argyle Square";"Pollinator";30;"richness";25
"Argyle Square";"Pollinator";30;"connectance";0,8
"Argyle Square";"Pollinator";30;"link_density";9,6
"Argyle Square";"Pollinator";30;"degree_heterogeneity";3,19195363543946
"Argyle Square";"Pollinator";30;"modularity_eigen";0,0741319444444444
"Argyle Square";"Pollinator";30;"modularity_betweenness";0,0138888888888889
"Argyle Square";"Pollinator";30;"nestedness";40,739898989899
"Argyle Square";"Pollinator";30;"centrality_degree";0,1171875
"Argyle Square";"Pollinator";30;"centrality_betweenness";0,051049182208684
"Argyle Square";"Pollinator";30;"centrality_eigen";0,303789622159095
"Argyle Square";"Pollinator";30;"interaction_overlap";0,807101315379953
"Argyle Square";"Pollinator";31;"richness";25
"Argyle Square";"Pollinator";31;"connectance";0,8
"Argyle Square";"Pollinator";31;"link_density";9,6
"Argyle Square";"Pollinator";31;"degree_heterogeneity";3,18886716171343
"Argyle Square";"Pollinator";31;"modularity_eigen";0,0874652777777779
"Argyle Square";"Pollinator";31;"modularity_betweenness";0,0133333333333333
"Argyle Square";"Pollinator";31;"nestedness";29,7044733044733
"Argyle Square";"Pollinator";31;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";31;"centrality_betweenness";0,0363701161675997
"Argyle Square";"Pollinator";31;"centrality_eigen";0,270544227139684
"Argyle Square";"Pollinator";31;"interaction_overlap";0,796937634623909
"Argyle Square";"Pollinator";32;"richness";25
"Argyle Square";"Pollinator";32;"connectance";0,8
"Argyle Square";"Pollinator";32;"link_density";9,6
"Argyle Square";"Pollinator";32;"degree_heterogeneity";3,19083096161141
"Argyle Square";"Pollinator";32;"modularity_eigen";0,0459027777777778
"Argyle Square";"Pollinator";32;"modularity_betweenness";0,0221527777777778
"Argyle Square";"Pollinator";32;"nestedness";37,7251267251267
"Argyle Square";"Pollinator";32;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";32;"centrality_betweenness";0,0414406398962809
"Argyle Square";"Pollinator";32;"centrality_eigen";0,253747802824005
"Argyle Square";"Pollinator";32;"interaction_overlap";0,807628097392803
"Argyle Square";"Pollinator";33;"richness";25
"Argyle Square";"Pollinator";33;"connectance";0,8
"Argyle Square";"Pollinator";33;"link_density";9,6
"Argyle Square";"Pollinator";33;"degree_heterogeneity";3,18963204393575
"Argyle Square";"Pollinator";33;"modularity_eigen";0,05
"Argyle Square";"Pollinator";33;"modularity_betweenness";0,0197916666666667
"Argyle Square";"Pollinator";33;"nestedness";29,8823953823954
"Argyle Square";"Pollinator";33;"centrality_degree";0,1171875
"Argyle Square";"Pollinator";33;"centrality_betweenness";0,0517867237009833
"Argyle Square";"Pollinator";33;"centrality_eigen";0,300319444253161
"Argyle Square";"Pollinator";33;"interaction_overlap";0,807544122582306
"Argyle Square";"Pollinator";34;"richness";25
"Argyle Square";"Pollinator";34;"connectance";0,8
"Argyle Square";"Pollinator";34;"link_density";9,6
"Argyle Square";"Pollinator";34;"degree_heterogeneity";3,18876249348659
"Argyle Square";"Pollinator";34;"modularity_eigen";0,0721875000000001
"Argyle Square";"Pollinator";34;"modularity_betweenness";0,0116666666666667
"Argyle Square";"Pollinator";34;"nestedness";34,5907092907093
"Argyle Square";"Pollinator";34;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";34;"centrality_betweenness";0,0437088394308032
"Argyle Square";"Pollinator";34;"centrality_eigen";0,263913529677487
"Argyle Square";"Pollinator";34;"interaction_overlap";0,805104115240338
"Argyle Square";"Pollinator";35;"richness";25
"Argyle Square";"Pollinator";35;"connectance";0,8
"Argyle Square";"Pollinator";35;"link_density";9,6
"Argyle Square";"Pollinator";35;"degree_heterogeneity";3,18465810820528
"Argyle Square";"Pollinator";35;"modularity_eigen";0,0741319444444444
"Argyle Square";"Pollinator";35;"modularity_betweenness";0,0216666666666667
"Argyle Square";"Pollinator";35;"nestedness";43,7128038628039
"Argyle Square";"Pollinator";35;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";35;"centrality_betweenness";0,0440617343864494
"Argyle Square";"Pollinator";35;"centrality_eigen";0,258899628449809
"Argyle Square";"Pollinator";35;"interaction_overlap";0,806502290432115
"Argyle Square";"Pollinator";36;"richness";25
"Argyle Square";"Pollinator";36;"connectance";0,8
"Argyle Square";"Pollinator";36;"link_density";9,6
"Argyle Square";"Pollinator";36;"degree_heterogeneity";3,18772395183076
"Argyle Square";"Pollinator";36;"modularity_eigen";0,0838541666666667
"Argyle Square";"Pollinator";36;"modularity_betweenness";0,0197222222222222
"Argyle Square";"Pollinator";36;"nestedness";35,5742035742036
"Argyle Square";"Pollinator";36;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";36;"centrality_betweenness";0,0411071806669871
"Argyle Square";"Pollinator";36;"centrality_eigen";0,257351195482622
"Argyle Square";"Pollinator";36;"interaction_overlap";0,809522885477478
"Argyle Square";"Pollinator";37;"richness";25
"Argyle Square";"Pollinator";37;"connectance";0,8
"Argyle Square";"Pollinator";37;"link_density";9,6
"Argyle Square";"Pollinator";37;"degree_heterogeneity";3,1887639302568
"Argyle Square";"Pollinator";37;"modularity_eigen";0,0911111111111111
"Argyle Square";"Pollinator";37;"modularity_betweenness";0,0122222222222222
"Argyle Square";"Pollinator";37;"nestedness";25,5386243386243
"Argyle Square";"Pollinator";37;"centrality_degree";0,0954861111111111
"Argyle Square";"Pollinator";37;"centrality_betweenness";0,0440365286685881
"Argyle Square";"Pollinator";37;"centrality_eigen";0,241362744121862
"Argyle Square";"Pollinator";37;"interaction_overlap";0,801921441704723
"Argyle Square";"Pollinator";38;"richness";25
"Argyle Square";"Pollinator";38;"connectance";0,8
"Argyle Square";"Pollinator";38;"link_density";9,6
"Argyle Square";"Pollinator";38;"degree_heterogeneity";3,18380984470694
"Argyle Square";"Pollinator";38;"modularity_eigen";0,0833333333333334
"Argyle Square";"Pollinator";38;"modularity_betweenness";0,0166666666666667
"Argyle Square";"Pollinator";38;"nestedness";36,9112332112332
"Argyle Square";"Pollinator";38;"centrality_degree";0,1171875
"Argyle Square";"Pollinator";38;"centrality_betweenness";0,0506471180330579
"Argyle Square";"Pollinator";38;"centrality_eigen";0,296808231862485
"Argyle Square";"Pollinator";38;"interaction_overlap";0,82325115537293
"Argyle Square";"Pollinator";39;"richness";25
"Argyle Square";"Pollinator";39;"connectance";0,8
"Argyle Square";"Pollinator";39;"link_density";9,6
"Argyle Square";"Pollinator";39;"degree_heterogeneity";3,18917958440042
"Argyle Square";"Pollinator";39;"modularity_eigen";0,0757291666666667
"Argyle Square";"Pollinator";39;"modularity_betweenness";0,0158333333333333
"Argyle Square";"Pollinator";39;"nestedness";36,612481962482
"Argyle Square";"Pollinator";39;"centrality_degree";0,1171875
"Argyle Square";"Pollinator";39;"centrality_betweenness";0,052014048879057
"Argyle Square";"Pollinator";39;"centrality_eigen";0,299308901948031
"Argyle Square";"Pollinator";39;"interaction_overlap";0,80703600798544
"Argyle Square";"Pollinator";40;"richness";25
"Argyle Square";"Pollinator";40;"connectance";0,8
"Argyle Square";"Pollinator";40;"link_density";9,6
"Argyle Square";"Pollinator";40;"degree_heterogeneity";3,18996063238109
"Argyle Square";"Pollinator";40;"modularity_eigen";0,0913541666666667
"Argyle Square";"Pollinator";40;"modularity_betweenness";0,0198611111111111
"Argyle Square";"Pollinator";40;"nestedness";42,6251803751804
"Argyle Square";"Pollinator";40;"centrality_degree";0,1171875
"Argyle Square";"Pollinator";40;"centrality_betweenness";0,0532420620657481
"Argyle Square";"Pollinator";40;"centrality_eigen";0,299914817344906
