"siteA";"siteB";"neardist";"metric";"value";"interaction"
"Canning/Neill St Reserve";"Pleasance Gardens";NA;"interaction_turnover";1;"herbivory"
"Canning/Neill St Reserve";"Princes Park";NA;"species_turnover";1;"herbivory"
"Canning/Neill St Reserve";"Princes Park";NA;"interaction_turnover";1;"herbivory"
"Canning/Neill St Reserve";"Royal Park";NA;"species_turnover";1;"herbivory"
"Canning/Neill St Reserve";"Royal Park";NA;"interaction_turnover";1;"herbivory"
"Canning/Neill St Reserve";"State Library of Victoria";NA;"species_turnover";1;"herbivory"
"Canning/Neill St Reserve";"State Library of Victoria";NA;"interaction_turnover";1;"herbivory"
"Canning/Neill St Reserve";"University Square";NA;"species_turnover";1;"herbivory"
"Canning/Neill St Reserve";"University Square";NA;"interaction_turnover";1;"herbivory"
"Canning/Neill St Reserve";"Westgate Park";NA;"species_turnover";1;"herbivory"
"Canning/Neill St Reserve";"Westgate Park";NA;"interaction_turnover";1;"herbivory"
"Canning/Neill St Reserve";"Women's Peace Gardens";NA;"species_turnover";1;"herbivory"
"Canning/Neill St Reserve";"Women's Peace Gardens";NA;"interaction_turnover";1;"herbivory"
"Canning/Neill St Reserve";"Womens Peace Gardens";NA;"species_turnover";NA;"herbivory"
"Canning/Neill St Reserve";"Womens Peace Gardens";NA;"interaction_turnover";NA;"herbivory"
"Carlton Gardens South";"Fitzroy-Treasury Gardens";544,08;"species_turnover";0,631205673758865;"herbivory"
"Carlton Gardens South";"Fitzroy-Treasury Gardens";544,08;"interaction_turnover";0,884169884169884;"herbivory"
"Carlton Gardens South";"Gardiner Reserve";2319,03;"species_turnover";0,84375;"herbivory"
"Carlton Gardens South";"Gardiner Reserve";2319,03;"interaction_turnover";0,97979797979798;"herbivory"
"Carlton Gardens South";"Garrard Street Reserve";3716,89;"species_turnover";0,855072463768116;"herbivory"
"Carlton Gardens South";"Garrard Street Reserve";3716,89;"interaction_turnover";1;"herbivory"
"Carlton Gardens South";"Lincoln Square";573,41;"species_turnover";0,76;"herbivory"
"Carlton Gardens South";"Lincoln Square";573,41;"interaction_turnover";0,948275862068966;"herbivory"
"Carlton Gardens South";"Murchinson Square";543,57;"species_turnover";0,846153846153846;"herbivory"
"Carlton Gardens South";"Murchinson Square";543,57;"interaction_turnover";1;"herbivory"
"Carlton Gardens South";"Pleasance Gardens";2231,07;"species_turnover";0,805555555555556;"herbivory"
"Carlton Gardens South";"Pleasance Gardens";2231,07;"interaction_turnover";1;"herbivory"
"Carlton Gardens South";"Princes Park";1642,67;"species_turnover";0,758389261744966;"herbivory"
"Carlton Gardens South";"Princes Park";1642,67;"interaction_turnover";0,974576271186441;"herbivory"
"Carlton Gardens South";"Royal Park";1721,12;"species_turnover";0,812244897959184;"herbivory"
"Carlton Gardens South";"Royal Park";1721,12;"interaction_turnover";0,995594713656388;"herbivory"
"Carlton Gardens South";"State Library of Victoria";486,42;"species_turnover";0,707317073170732;"herbivory"
"Carlton Gardens South";"State Library of Victoria";486,42;"interaction_turnover";0,984126984126984;"herbivory"
"Carlton Gardens South";"University Square";848,12;"species_turnover";0,802816901408451;"herbivory"
"Carlton Gardens South";"University Square";848,12;"interaction_turnover";1;"herbivory"
"Carlton Gardens South";"Westgate Park";5623,46;"species_turnover";0,808917197452229;"herbivory"
"Carlton Gardens South";"Westgate Park";5623,46;"interaction_turnover";1;"herbivory"
"Carlton Gardens South";"Women's Peace Gardens";4230,09;"species_turnover";0,704545454545455;"herbivory"
"Carlton Gardens South";"Women's Peace Gardens";4230,09;"interaction_turnover";0,986013986013986;"herbivory"
"Carlton Gardens South";"Womens Peace Gardens";NA;"species_turnover";1;"herbivory"
"Carlton Gardens South";"Womens Peace Gardens";NA;"interaction_turnover";1;"herbivory"
"Fitzroy-Treasury Gardens";"Gardiner Reserve";3090,88;"species_turnover";0,849462365591398;"herbivory"
"Fitzroy-Treasury Gardens";"Gardiner Reserve";3090,88;"interaction_turnover";0,988636363636364;"herbivory"
"Fitzroy-Treasury Gardens";"Garrard Street Reserve";4662,63;"species_turnover";0,897959183673469;"herbivory"
"Fitzroy-Treasury Gardens";"Garrard Street Reserve";4662,63;"interaction_turnover";1;"herbivory"
"Fitzroy-Treasury Gardens";"Lincoln Square";1520,01;"species_turnover";0,788461538461539;"herbivory"
"Fitzroy-Treasury Gardens";"Lincoln Square";1520,01;"interaction_turnover";0,968911917098445;"herbivory"
"Fitzroy-Treasury Gardens";"Murchinson Square";1143,91;"species_turnover";0,851063829787234;"herbivory"
"Fitzroy-Treasury Gardens";"Murchinson Square";1143,91;"interaction_turnover";0,966101694915254;"herbivory"
"Fitzroy-Treasury Gardens";"Pleasance Gardens";3107,62;"species_turnover";0,841584158415842;"herbivory"
"Fitzroy-Treasury Gardens";"Pleasance Gardens";3107,62;"interaction_turnover";1;"herbivory"
"Fitzroy-Treasury Gardens";"Princes Park";2532;"species_turnover";0,674157303370787;"herbivory"
"Fitzroy-Treasury Gardens";"Princes Park";2532;"interaction_turnover";0,916932907348243;"herbivory"
"Fitzroy-Treasury Gardens";"Royal Park";2656,58;"species_turnover";0,781021897810219;"herbivory"
"Fitzroy-Treasury Gardens";"Royal Park";2656,58;"interaction_turnover";0,99623352165725;"herbivory"
"Fitzroy-Treasury Gardens";"State Library of Victoria";914,28;"species_turnover";0,747747747747748;"herbivory"
"Fitzroy-Treasury Gardens";"State Library of Victoria";914,28;"interaction_turnover";0,960591133004926;"herbivory"
"Fitzroy-Treasury Gardens";"University Square";1772,31;"species_turnover";0,82;"herbivory"
"Fitzroy-Treasury Gardens";"University Square";1772,31;"interaction_turnover";0,967567567567568;"herbivory"
"Fitzroy-Treasury Gardens";"Westgate Park";5788,21;"species_turnover";0,806451612903226;"herbivory"
"Fitzroy-Treasury Gardens";"Westgate Park";5788,21;"interaction_turnover";1;"herbivory"
"Fitzroy-Treasury Gardens";"Women's Peace Gardens";5038,34;"species_turnover";0,794871794871795;"herbivory"
"Fitzroy-Treasury Gardens";"Women's Peace Gardens";5038,34;"interaction_turnover";1;"herbivory"
"Fitzroy-Treasury Gardens";"Womens Peace Gardens";NA;"species_turnover";1;"herbivory"
"Fitzroy-Treasury Gardens";"Womens Peace Gardens";NA;"interaction_turnover";1;"herbivory"
"Gardiner Reserve";"Garrard Street Reserve";2131,2;"species_turnover";0,714285714285714;"herbivory"
"Gardiner Reserve";"Garrard Street Reserve";2131,2;"interaction_turnover";1;"herbivory"
"Gardiner Reserve";"Lincoln Square";1645,83;"species_turnover";0,62962962962963;"herbivory"
"Gardiner Reserve";"Lincoln Square";1645,83;"interaction_turnover";1;"herbivory"
"Gardiner Reserve";"Murchinson Square";2517,58;"species_turnover";0,647058823529412;"herbivory"
"Gardiner Reserve";"Murchinson Square";2517,58;"interaction_turnover";1;"herbivory"
"Gardiner Reserve";"Pleasance Gardens";245,6;"species_turnover";0,666666666666667;"herbivory"
"Gardiner Reserve";"Pleasance Gardens";245,6;"interaction_turnover";1;"herbivory"
"Gardiner Reserve";"Princes Park";1639,51;"species_turnover";0,900990099009901;"herbivory"
"Gardiner Reserve";"Princes Park";1639,51;"interaction_turnover";1;"herbivory"
"Gardiner Reserve";"Royal Park";653,87;"species_turnover";0,949238578680203;"herbivory"
"Gardiner Reserve";"Royal Park";653,87;"interaction_turnover";1;"herbivory"
"Gardiner Reserve";"State Library of Victoria";2089,15;"species_turnover";0,764705882352941;"herbivory"
"Gardiner Reserve";"State Library of Victoria";2089,15;"interaction_turnover";1;"herbivory"
"Gardiner Reserve";"University Square";1399,45;"species_turnover";0,652173913043478;"herbivory"
"Gardiner Reserve";"University Square";1399,45;"interaction_turnover";1;"herbivory"
"Gardiner Reserve";"Westgate Park";4342,6;"species_turnover";0,908256880733945;"herbivory"
"Gardiner Reserve";"Westgate Park";4342,6;"interaction_turnover";1;"herbivory"
"Gardiner Reserve";"Women's Peace Gardens";1859,26;"species_turnover";0,8;"herbivory"
"Gardiner Reserve";"Women's Peace Gardens";1859,26;"interaction_turnover";1;"herbivory"
"Gardiner Reserve";"Womens Peace Gardens";NA;"species_turnover";1;"herbivory"
"Gardiner Reserve";"Womens Peace Gardens";NA;"interaction_turnover";1;"herbivory"
"Garrard Street Reserve";"Lincoln Square";3057,58;"species_turnover";0,625;"herbivory"
"Garrard Street Reserve";"Lincoln Square";3057,58;"interaction_turnover";1;"herbivory"
"Garrard Street Reserve";"Murchinson Square";3521,7;"species_turnover";0,727272727272727;"herbivory"
"Garrard Street Reserve";"Murchinson Square";3521,7;"interaction_turnover";1;"herbivory"
"Garrard Street Reserve";"Pleasance Gardens";1880,11;"species_turnover";0,724137931034483;"herbivory"
"Garrard Street Reserve";"Pleasance Gardens";1880,11;"interaction_turnover";1;"herbivory"
"Garrard Street Reserve";"Princes Park";1585,4;"species_turnover";0,905660377358491;"herbivory"
"Garrard Street Reserve";"Princes Park";1585,4;"interaction_turnover";1;"herbivory"
"Garrard Street Reserve";"Royal Park";256,02;"species_turnover";0,920792079207921;"herbivory"
"Garrard Street Reserve";"Royal Park";256,02;"interaction_turnover";1;"herbivory"
"Garrard Street Reserve";"State Library of Victoria";3876,33;"species_turnover";0,794871794871795;"herbivory"
"Garrard Street Reserve";"State Library of Victoria";3876,33;"interaction_turnover";1;"herbivory"
"Garrard Street Reserve";"University Square";2779,34;"species_turnover";0,785714285714286;"herbivory"
"Garrard Street Reserve";"University Square";2779,34;"interaction_turnover";1;"herbivory"
"Garrard Street Reserve";"Westgate Park";6153,56;"species_turnover";0,912280701754386;"herbivory"
"Garrard Street Reserve";"Westgate Park";6153,56;"interaction_turnover";1;"herbivory"
"Garrard Street Reserve";"Women's Peace Gardens";1989,41;"species_turnover";0,777777777777778;"herbivory"
"Garrard Street Reserve";"Women's Peace Gardens";1989,41;"interaction_turnover";1;"herbivory"
"Garrard Street Reserve";"Womens Peace Gardens";NA;"species_turnover";1;"herbivory"
"Garrard Street Reserve";"Womens Peace Gardens";NA;"interaction_turnover";1;"herbivory"
"Lincoln Square";"Murchinson Square";814,9;"species_turnover";0,714285714285714;"herbivory"
"Lincoln Square";"Murchinson Square";814,9;"interaction_turnover";1;"herbivory"
"Lincoln Square";"Pleasance Gardens";1524,14;"species_turnover";0,714285714285714;"herbivory"
"Lincoln Square";"Pleasance Gardens";1524,14;"interaction_turnover";1;"herbivory"
"Lincoln Square";"Princes Park";1129,68;"species_turnover";0,839285714285714;"herbivory"
"Lincoln Square";"Princes Park";1129,68;"interaction_turnover";0,964705882352941;"herbivory"
"Lincoln Square";"Royal Park";1114,29;"species_turnover";0,894230769230769;"herbivory"
"Lincoln Square";"Royal Park";1114,29;"interaction_turnover";0,994845360824742;"herbivory"
