"site";"interaction_type";"metric";"value"
"Fitzroy-Treasury Gardens";"Herbivore";"centrality_degree";0,156887755102041
"Fitzroy-Treasury Gardens";"Herbivore";"centrality_betweenness";0,395341330412073
"Fitzroy-Treasury Gardens";"Herbivore";"centrality_eigen";0,833878156537312
"Fitzroy-Treasury Gardens";"Herbivore";"interaction_overlap";0,433704208840796
"Gardiner Reserve";"Pollinator";"richness";NA
"Gardiner Reserve";"Pollinator";"connectance";NA
"Gardiner Reserve";"Pollinator";"link_density";NA
"Gardiner Reserve";"Pollinator";"degree_heterogeneity";NA
"Gardiner Reserve";"Pollinator";"modularity_eigen";NA
"Gardiner Reserve";"Pollinator";"modularity_betweenness";NA
"Gardiner Reserve";"Pollinator";"nestedness";NA
"Gardiner Reserve";"Pollinator";"centrality_degree";NA
"Gardiner Reserve";"Pollinator";"centrality_betweenness";NA
"Gardiner Reserve";"Pollinator";"centrality_eigen";NA
"Gardiner Reserve";"Pollinator";"interaction_overlap";NA
"Gardiner Reserve";"Herbivore";"richness";8
"Gardiner Reserve";"Herbivore";"connectance";0,666666666666667
"Gardiner Reserve";"Herbivore";"link_density";2
"Gardiner Reserve";"Herbivore";"degree_heterogeneity";1,84074872856928
"Gardiner Reserve";"Herbivore";"modularity_eigen";0,21875
"Gardiner Reserve";"Herbivore";"modularity_betweenness";0,1875
"Gardiner Reserve";"Herbivore";"nestedness";43,75
"Gardiner Reserve";"Herbivore";"centrality_degree";0,326530612244898
"Gardiner Reserve";"Herbivore";"centrality_betweenness";0,843537414965986
"Gardiner Reserve";"Herbivore";"centrality_eigen";0,662110084645692
"Gardiner Reserve";"Herbivore";"interaction_overlap";0,75
"Garrard Street Reserve";"Pollinator";"richness";NA
"Garrard Street Reserve";"Pollinator";"connectance";NA
"Garrard Street Reserve";"Pollinator";"link_density";NA
"Garrard Street Reserve";"Pollinator";"degree_heterogeneity";NA
"Garrard Street Reserve";"Pollinator";"modularity_eigen";NA
"Garrard Street Reserve";"Pollinator";"modularity_betweenness";NA
"Garrard Street Reserve";"Pollinator";"nestedness";NA
"Garrard Street Reserve";"Pollinator";"centrality_degree";NA
"Garrard Street Reserve";"Pollinator";"centrality_betweenness";NA
"Garrard Street Reserve";"Pollinator";"centrality_eigen";NA
"Garrard Street Reserve";"Pollinator";"interaction_overlap";NA
"Garrard Street Reserve";"Herbivore";"richness";13
"Garrard Street Reserve";"Herbivore";"connectance";0,545454545454545
"Garrard Street Reserve";"Herbivore";"link_density";1,84615384615385
"Garrard Street Reserve";"Herbivore";"degree_heterogeneity";2,21743487340305
"Garrard Street Reserve";"Herbivore";"modularity_eigen";0,413194444444444
"Garrard Street Reserve";"Herbivore";"modularity_betweenness";0,243055555555556
"Garrard Street Reserve";"Herbivore";"nestedness";9,28571428571429
"Garrard Street Reserve";"Herbivore";"centrality_degree";0,232638888888889
"Garrard Street Reserve";"Herbivore";"centrality_betweenness";0,680555555555556
"Garrard Street Reserve";"Herbivore";"centrality_eigen";0,750399404134402
